order_id,customer_id,order_date,order_status,payment_mode,product_id,product_category,order_value,discount_value,promised_delivery_date,actual_delivery_date,city,state,is_repeat_customer,shipment_partner,shipment_mode
ST2025000010,2685,2024-10-26 03:14:00,Shipped,Card,SKU00374,Food,3448.39,143.94,2024-10-30 03:14:00,2024-10-31 03:14:00,Chennai,Karnataka,False,Ecom,Air
ST2025000011,1769,2024-08-23 15:37:00,Delivered,Wallet,SKU04676,Grooming,478.04,426.49,2024-08-28 15:37:00,2024-08-29 15:37:00,Kolkata,Karnataka,True,Bluedart,Surface
ST2025000012,7949,2024-10-07 20:15:00,Delivered,Card,SKU04613,Grooming,1601.94,169.63,2024-10-09 20:15:00,2024-10-12 20:15:00,Pune,Delhi,False,XpressBees,Surface
ST2025000013,3433,2024-02-08 13:11:00,Shipped,Card,SKU01262,Grooming,200.41,481.21,2024-02-12 13:11:00,2024-02-14 13:11:00,Mumbai,Tamil Nadu,False,Delhivery,Surface
ST2025000014,6311,2024-01-01 08:55:00,Shipped,Card,SKU00121,Accessories,833.27,134.46,2024-01-05 08:55:00,2024-01-08 08:55:00,Kolkata,Maharashtra,False,Bluedart,Air
ST2025000015,6051,2024-09-22 15:37:00,Shipped,COD,SKU03846,Accessories,2577.4,221.07,2024-09-26 15:37:00,2024-09-26 15:37:00,Pune,Tamil Nadu,False,Delhivery,Surface
ST2025000016,7420,2024-12-01 12:18:00,Cancelled,UPI,SKU02885,Grooming,3559.41,47.8,2024-12-04 12:18:00,2024-12-02 12:18:00,Delhi,Telangana,False,XpressBees,Surface
ST2025000017,2184,2024-03-18 18:30:00,Returned,COD,SKU02618,Food,2586.2,496.09,2024-03-23 18:30:00,2024-03-25 18:30:00,Mumbai,Maharashtra,False,Ecom,Air
ST2025000018,5555,2024-01-24 19:30:00,Cancelled,COD,SKU04139,Accessories,2706.93,445.07,2024-01-25 19:30:00,2024-01-30 19:30:00,Chennai,Delhi,False,Bluedart,Surface
ST2025000019,4385,2024-07-19 16:27:00,Delivered,UPI,SKU03269,Food,549.71,408.78,2024-07-21 16:27:00,2024-07-24 16:27:00,Hyderabad,Delhi,False,Ecom,Air
ST2025000020,7396,2024-12-13 19:34:00,Delivered,COD,SKU02043,Vet Pharma,2709.71,78.67,2024-12-14 19:34:00,2024-12-15 19:34:00,Delhi,Delhi,False,Bluedart,Surface
ST2025000021,9666,2024-09-06 11:47:00,Delivered,Card,SKU02120,Food,1899.23,484.68,2024-09-10 11:47:00,2024-09-13 11:47:00,Mumbai,Karnataka,False,Ecom,Surface
ST2025000022,3558,2024-03-23 23:47:00,Cancelled,UPI,SKU00491,Accessories,2658.04,464.58,2024-03-24 23:47:00,2024-03-25 23:47:00,Pune,Delhi,False,Delhivery,Surface
ST2025000023,8849,2024-11-22 03:00:00,Shipped,COD,SKU04845,Grooming,1405.77,217.84,2024-11-25 03:00:00,2024-11-29 03:00:00,Delhi,Telangana,True,XpressBees,Air
ST2025000024,3047,2024-12-30 19:23:00,Delivered,Wallet,SKU03046,Vet Pharma,2388.72,340.82,2025-01-02 19:23:00,2025-01-06 19:23:00,Hyderabad,Telangana,False,Ecom,Surface
ST2025000025,3747,2024-05-24 22:54:00,Delivered,COD,SKU00383,Food,1782.67,496.23,2024-05-25 22:54:00,2024-05-31 22:54:00,Chennai,Delhi,True,Bluedart,Air
ST2025000026,1189,2024-10-01 05:02:00,Delivered,Wallet,SKU00805,Grooming,2300.75,204.87,2024-10-03 05:02:00,2024-10-02 05:02:00,Mumbai,Maharashtra,False,Ecom,Surface
ST2025000027,3734,2024-02-11 04:39:00,Shipped,Card,SKU01178,Vet Pharma,716.29,56.52,2024-02-15 04:39:00,2024-02-14 04:39:00,Kolkata,Telangana,True,Delhivery,Air
ST2025000028,4005,2024-02-02 20:55:00,Delivered,Wallet,SKU02218,Food,1673.93,433.89,2024-02-06 20:55:00,2024-02-06 20:55:00,Chennai,Maharashtra,True,Delhivery,Surface
ST2025000029,5658,2024-08-23 00:38:00,Delivered,COD,SKU01296,Grooming,1590.97,238.24,2024-08-26 00:38:00,2024-08-26 00:38:00,Pune,Maharashtra,False,Bluedart,Surface
ST2025000030,2899,2024-05-02 02:29:00,Delivered,COD,SKU00918,Vet Pharma,2985.12,493.48,2024-05-07 02:29:00,2024-05-04 02:29:00,Pune,Maharashtra,True,Bluedart,Surface
ST2025000031,8734,2024-01-07 22:14:00,Delivered,COD,SKU04247,Accessories,2869.68,275.45,2024-01-08 22:14:00,2024-01-12 22:14:00,Mumbai,Delhi,False,Ecom,Air
ST2025000032,2267,2024-01-24 12:47:00,Shipped,UPI,SKU04527,Food,3649.11,14.74,2024-01-29 12:47:00,2024-01-31 12:47:00,Delhi,West Bengal,False,XpressBees,Air
ST2025000033,2528,2024-03-07 23:58:00,Cancelled,UPI,SKU02415,Food,2583.41,245.86,2024-03-11 23:58:00,2024-03-12 23:58:00,Kolkata,Karnataka,True,Ecom,Surface
ST2025000034,4556,2024-12-08 01:49:00,Delivered,COD,SKU00651,Vet Pharma,1361.01,359.03,2024-12-13 01:49:00,2024-12-10 01:49:00,Kolkata,Delhi,True,Bluedart,Air
ST2025000035,4890,2024-08-30 10:26:00,Delivered,COD,SKU04916,Food,3165.41,13.02,2024-09-04 10:26:00,2024-09-03 10:26:00,Bangalore,Telangana,True,XpressBees,Surface
ST2025000036,9838,2024-04-25 13:53:00,Placed,Card,SKU02287,Grooming,2063.44,206.72,2024-04-28 13:53:00,2024-04-29 13:53:00,Mumbai,Telangana,False,XpressBees,Air
ST2025000037,6393,2024-05-21 11:47:00,Placed,UPI,SKU02752,Food,894.95,77.78,2024-05-22 11:47:00,2024-05-26 11:47:00,Mumbai,Telangana,False,XpressBees,Surface
ST2025000038,9792,2024-09-24 20:43:00,Delivered,UPI,SKU03199,Food,3027.53,321.55,2024-09-25 20:43:00,2024-09-25 20:43:00,Chennai,Telangana,False,XpressBees,Air
ST2025000039,9433,2024-07-14 11:00:00,Shipped,UPI,SKU00942,Grooming,660.25,478.67,2024-07-15 11:00:00,2024-07-17 11:00:00,Bangalore,West Bengal,True,Bluedart,Surface
ST2025000040,8513,2024-01-02 06:15:00,Delivered,Wallet,SKU00541,Grooming,835.89,312.29,2024-01-03 06:15:00,2024-01-03 06:15:00,Kolkata,Karnataka,True,Bluedart,Air
ST2025000041,3612,2024-08-19 09:29:00,Placed,COD,SKU02681,Accessories,3071.21,347.44,2024-08-24 09:29:00,2024-08-25 09:29:00,Pune,West Bengal,True,XpressBees,Air
ST2025000042,8041,2024-04-25 22:56:00,Delivered,Card,SKU03728,Grooming,3115.06,198.28,2024-04-28 22:56:00,2024-04-27 22:56:00,Bangalore,Maharashtra,False,XpressBees,Air
ST2025000043,7235,2024-04-28 22:43:00,Delivered,Card,SKU02530,Food,3194.51,281.57,2024-05-03 22:43:00,2024-05-05 22:43:00,Bangalore,Delhi,True,Bluedart,Surface
ST2025000044,6486,2024-08-15 06:29:00,Placed,COD,SKU01203,Vet Pharma,1279.3,271.93,2024-08-20 06:29:00,2024-08-18 06:29:00,Bangalore,Telangana,True,XpressBees,Air
ST2025000045,8099,2024-10-17 14:55:00,Delivered,COD,SKU04965,Food,3486.36,379.8,2024-10-19 14:55:00,2024-10-23 14:55:00,Hyderabad,Maharashtra,False,Bluedart,Air
ST2025000046,1775,2024-02-26 03:06:00,Delivered,Card,SKU00651,Accessories,2932.27,428.46,2024-02-29 03:06:00,2024-03-01 03:06:00,Kolkata,Delhi,False,Bluedart,Air
ST2025000047,9226,2024-09-17 10:47:00,Delivered,Wallet,SKU03007,Vet Pharma,3360.77,331.44,2024-09-22 10:47:00,2024-09-22 10:47:00,Delhi,Karnataka,False,Bluedart,Air
ST2025000048,4152,2024-08-21 01:56:00,Shipped,Card,SKU04533,Accessories,2878.13,489.9,2024-08-22 01:56:00,2024-08-24 01:56:00,Mumbai,Tamil Nadu,False,Delhivery,Air
ST2025000049,2585,2024-11-01 23:29:00,Delivered,Wallet,SKU02905,Food,2381.45,414.14,2024-11-02 23:29:00,2024-11-08 23:29:00,Delhi,Karnataka,False,Ecom,Air
ST2025000050,4943,2024-05-30 09:09:00,Shipped,Wallet,SKU00314,Grooming,571.17,62.32,2024-06-02 09:09:00,2024-05-31 09:09:00,Pune,Tamil Nadu,False,Ecom,Surface
ST2025000051,8555,2024-05-01 14:28:00,Shipped,UPI,SKU04115,Vet Pharma,2887.1,253.74,2024-05-02 14:28:00,2024-05-08 14:28:00,Delhi,Telangana,False,Bluedart,Air
ST2025000052,4073,2024-04-24 17:23:00,Shipped,COD,SKU01184,Food,2808.27,451.62,2024-04-27 17:23:00,2024-04-29 17:23:00,Delhi,Maharashtra,True,Ecom,Surface
ST2025000053,2021,2024-02-26 14:18:00,Delivered,UPI,SKU04914,Vet Pharma,1353.09,471.97,2024-02-27 14:18:00,2024-03-02 14:18:00,Delhi,West Bengal,False,XpressBees,Surface
ST2025000054,4843,2024-12-23 11:27:00,Placed,Wallet,SKU00122,Accessories,2982.91,190.1,2024-12-25 11:27:00,2024-12-28 11:27:00,Hyderabad,Maharashtra,True,Delhivery,Air
ST2025000055,8989,2024-05-24 14:01:00,Cancelled,Card,SKU00169,Food,2269.25,362.85,2024-05-27 14:01:00,2024-05-28 14:01:00,Chennai,Delhi,False,XpressBees,Surface
ST2025000056,7873,2024-11-06 22:24:00,Shipped,UPI,SKU03683,Vet Pharma,2303.71,205.27,2024-11-09 22:24:00,2024-11-08 22:24:00,Kolkata,Tamil Nadu,False,Ecom,Air
ST2025000057,6675,2024-01-28 09:00:00,Shipped,Card,SKU04725,Food,1565.28,61.83,2024-02-02 09:00:00,2024-02-04 09:00:00,Hyderabad,Tamil Nadu,False,Bluedart,Air
ST2025000058,1161,2024-06-03 08:38:00,Delivered,Wallet,SKU04122,Food,599.62,442.31,2024-06-08 08:38:00,2024-06-05 08:38:00,Mumbai,Delhi,False,Delhivery,Surface
ST2025000059,5297,2024-02-21 20:51:00,Shipped,Card,SKU03969,Accessories,985.17,465.98,2024-02-24 20:51:00,2024-02-26 20:51:00,Kolkata,Maharashtra,False,Ecom,Surface
ST2025000060,1995,2024-05-22 17:25:00,Delivered,UPI,SKU04018,Accessories,3110.0,252.38,2024-05-27 17:25:00,2024-05-24 17:25:00,Bangalore,West Bengal,False,Ecom,Air
ST2025000061,8629,2024-11-15 14:32:00,Shipped,Wallet,SKU03698,Accessories,1195.05,9.15,2024-11-18 14:32:00,2024-11-17 14:32:00,Chennai,Maharashtra,False,Ecom,Air
ST2025000062,2016,2024-12-25 02:13:00,Placed,COD,SKU01730,Grooming,158.67,408.02,2024-12-30 02:13:00,2024-12-30 02:13:00,Mumbai,Delhi,False,Delhivery,Air
ST2025000063,8869,2024-03-25 20:30:00,Shipped,UPI,SKU03556,Vet Pharma,3988.52,238.48,2024-03-28 20:30:00,2024-03-30 20:30:00,Pune,West Bengal,False,XpressBees,Air
ST2025000064,7439,2024-01-07 06:37:00,Shipped,UPI,SKU01119,Accessories,961.13,37.51,2024-01-12 06:37:00,2024-01-08 06:37:00,Bangalore,West Bengal,False,XpressBees,Air
ST2025000065,8892,2024-08-24 14:23:00,Placed,COD,SKU02169,Grooming,2673.23,94.7,2024-08-28 14:23:00,2024-08-30 14:23:00,Hyderabad,Tamil Nadu,False,Ecom,Surface
ST2025000066,7863,2024-01-19 14:08:00,Delivered,Wallet,SKU04222,Grooming,3718.65,76.06,2024-01-23 14:08:00,2024-01-23 14:08:00,Delhi,West Bengal,False,Ecom,Surface
ST2025000067,8916,2024-07-15 09:04:00,Delivered,COD,SKU04782,Vet Pharma,2458.89,343.14,2024-07-20 09:04:00,2024-07-18 09:04:00,Mumbai,Telangana,False,Bluedart,Air
ST2025000068,9529,2024-01-27 21:51:00,Delivered,UPI,SKU03117,Vet Pharma,3226.27,149.7,2024-01-28 21:51:00,2024-01-30 21:51:00,Pune,Delhi,False,Delhivery,Air
ST2025000069,1878,2024-08-07 15:36:00,Delivered,Wallet,SKU04731,Accessories,3909.03,63.85,2024-08-12 15:36:00,2024-08-13 15:36:00,Delhi,Maharashtra,False,Bluedart,Surface
ST2025000070,5887,2024-10-13 23:00:00,Delivered,Card,SKU02430,Grooming,3462.4,458.82,2024-10-14 23:00:00,2024-10-20 23:00:00,Delhi,Telangana,False,Delhivery,Air
ST2025000071,5859,2024-01-01 16:59:00,Cancelled,UPI,SKU02008,Vet Pharma,2297.93,478.27,2024-01-03 16:59:00,2024-01-07 16:59:00,Delhi,Telangana,False,Ecom,Air
ST2025000072,7331,2024-11-15 19:42:00,Placed,Card,SKU01051,Vet Pharma,1550.26,69.29,2024-11-16 19:42:00,2024-11-22 19:42:00,Chennai,Tamil Nadu,True,Delhivery,Surface
ST2025000073,9571,2024-01-26 18:38:00,Placed,COD,SKU00705,Vet Pharma,2007.49,115.12,2024-01-28 18:38:00,2024-01-29 18:38:00,Bangalore,West Bengal,False,Ecom,Air
ST2025000074,9684,2024-03-11 16:31:00,Placed,Wallet,SKU02900,Vet Pharma,3391.03,296.06,2024-03-14 16:31:00,2024-03-17 16:31:00,Delhi,Delhi,True,Ecom,Air
ST2025000075,8208,2024-04-26 14:08:00,Placed,COD,SKU03208,Grooming,3435.42,75.25,2024-04-28 14:08:00,2024-04-29 14:08:00,Pune,Telangana,False,XpressBees,Air
ST2025000076,6276,2024-10-07 10:49:00,Placed,Card,SKU00707,Food,3406.54,79.3,2024-10-10 10:49:00,2024-10-10 10:49:00,Mumbai,Karnataka,False,Ecom,Air
ST2025000077,3062,2024-01-11 03:21:00,Delivered,UPI,SKU03833,Vet Pharma,2449.31,168.29,2024-01-12 03:21:00,2024-01-14 03:21:00,Chennai,Telangana,False,Ecom,Surface
ST2025000078,1064,2024-12-10 20:09:00,Delivered,Wallet,SKU02009,Grooming,1986.28,474.59,2024-12-11 20:09:00,2024-12-16 20:09:00,Bangalore,Telangana,True,Ecom,Air
ST2025000079,9006,2024-04-22 20:28:00,Returned,COD,SKU04722,Vet Pharma,1348.65,481.22,2024-04-24 20:28:00,2024-04-27 20:28:00,Mumbai,Telangana,False,XpressBees,Air
ST2025000080,3568,2024-07-14 05:44:00,Shipped,Card,SKU04622,Grooming,162.94,420.89,2024-07-15 05:44:00,2024-07-15 05:44:00,Chennai,Delhi,False,Delhivery,Air
ST2025000081,6463,2024-07-08 10:28:00,Shipped,Card,SKU01598,Accessories,3093.27,347.86,2024-07-09 10:28:00,2024-07-12 10:28:00,Chennai,Tamil Nadu,True,Delhivery,Air
ST2025000082,3027,2024-08-09 20:16:00,Returned,UPI,SKU01067,Food,1216.44,360.34,2024-08-12 20:16:00,2024-08-12 20:16:00,Pune,Tamil Nadu,False,Delhivery,Air
ST2025000083,3695,2024-11-20 10:26:00,Delivered,Card,SKU01947,Grooming,1419.26,234.79,2024-11-25 10:26:00,2024-11-24 10:26:00,Kolkata,Karnataka,True,Ecom,Surface
ST2025000084,6258,2024-09-10 00:05:00,Delivered,Wallet,SKU02800,Grooming,3397.4,265.08,2024-09-15 00:05:00,2024-09-15 00:05:00,Pune,West Bengal,False,Bluedart,Air
ST2025000085,6618,2024-03-05 03:47:00,Delivered,Card,SKU00096,Grooming,351.17,317.23,2024-03-09 03:47:00,2024-03-06 03:47:00,Bangalore,Karnataka,False,Delhivery,Surface
ST2025000086,7736,2024-03-01 12:57:00,Delivered,UPI,SKU02075,Vet Pharma,3721.34,365.64,2024-03-05 12:57:00,2024-03-08 12:57:00,Kolkata,Telangana,False,XpressBees,Air
ST2025000087,1391,2024-08-31 21:54:00,Delivered,COD,SKU04932,Accessories,155.24,48.42,2024-09-04 21:54:00,2024-09-05 21:54:00,Kolkata,Telangana,False,Delhivery,Air
ST2025000088,6892,2024-11-30 02:48:00,Shipped,Wallet,SKU01919,Vet Pharma,3765.8,112.44,2024-12-04 02:48:00,2024-12-07 02:48:00,Pune,Telangana,True,Ecom,Air
ST2025000089,4561,2024-05-04 01:09:00,Delivered,COD,SKU01266,Accessories,1900.82,481.47,2024-05-08 01:09:00,2024-05-10 01:09:00,Kolkata,Karnataka,True,XpressBees,Surface
ST2025000090,7184,2024-06-19 00:05:00,Delivered,COD,SKU02535,Food,543.17,167.57,2024-06-24 00:05:00,2024-06-23 00:05:00,Delhi,Tamil Nadu,False,Ecom,Surface
ST2025000091,4099,2024-12-26 07:11:00,Placed,Card,SKU00240,Vet Pharma,2745.52,134.24,2024-12-30 07:11:00,2024-12-27 07:11:00,Mumbai,Karnataka,False,Bluedart,Surface
ST2025000092,7278,2024-01-30 23:51:00,Delivered,Card,SKU01328,Grooming,3599.05,210.96,2024-02-03 23:51:00,2024-02-05 23:51:00,Hyderabad,West Bengal,True,Bluedart,Air
ST2025000093,9392,2024-07-02 18:52:00,Shipped,UPI,SKU01143,Food,1836.58,145.46,2024-07-07 18:52:00,2024-07-04 18:52:00,Delhi,Tamil Nadu,False,Bluedart,Surface
ST2025000094,4104,2024-08-13 00:05:00,Cancelled,Card,SKU03224,Vet Pharma,2811.73,45.59,2024-08-14 00:05:00,2024-08-14 00:05:00,Kolkata,Karnataka,True,Bluedart,Air
ST2025000095,8215,2024-10-05 05:23:00,Placed,Card,SKU03849,Accessories,3920.55,103.98,2024-10-09 05:23:00,2024-10-10 05:23:00,Hyderabad,Tamil Nadu,False,Delhivery,Surface
ST2025000096,3454,2024-12-16 16:48:00,Cancelled,COD,SKU01416,Vet Pharma,1076.7,320.08,2024-12-20 16:48:00,2024-12-17 16:48:00,Mumbai,Karnataka,False,XpressBees,Surface
ST2025000097,9996,2024-02-19 13:53:00,Delivered,Wallet,SKU02399,Vet Pharma,3308.73,111.59,2024-02-23 13:53:00,2024-02-26 13:53:00,Pune,Tamil Nadu,False,Ecom,Surface
ST2025000098,3731,2024-10-24 02:22:00,Shipped,Card,SKU00761,Grooming,1286.66,323.83,2024-10-27 02:22:00,2024-10-27 02:22:00,Hyderabad,Delhi,False,Ecom,Air
ST2025000099,9154,2024-12-11 18:41:00,Placed,Wallet,SKU03643,Grooming,1791.4,50.04,2024-12-15 18:41:00,2024-12-14 18:41:00,Hyderabad,Delhi,False,Ecom,Air
ST2025000100,6056,2024-01-16 09:18:00,Delivered,Card,SKU01553,Food,1234.8,20.94,2024-01-18 09:18:00,2024-01-21 09:18:00,Bangalore,Maharashtra,True,XpressBees,Surface
ST2025000101,9110,2024-12-26 22:32:00,Cancelled,Card,SKU00863,Grooming,1867.15,430.78,2024-12-30 22:32:00,2024-12-29 22:32:00,Bangalore,West Bengal,False,Bluedart,Air
ST2025000102,4840,2024-04-24 16:35:00,Shipped,UPI,SKU04036,Vet Pharma,169.59,380.01,2024-04-27 16:35:00,2024-04-28 16:35:00,Pune,Tamil Nadu,False,XpressBees,Surface
ST2025000103,2028,2024-07-06 02:20:00,Shipped,Card,SKU01156,Vet Pharma,1318.24,333.01,2024-07-11 02:20:00,2024-07-13 02:20:00,Bangalore,Tamil Nadu,True,Bluedart,Surface
ST2025000104,8385,2024-03-30 14:25:00,Delivered,UPI,SKU00357,Accessories,1864.38,15.45,2024-04-03 14:25:00,2024-04-01 14:25:00,Hyderabad,West Bengal,True,XpressBees,Surface
ST2025000105,1502,2024-06-10 19:35:00,Delivered,COD,SKU01672,Vet Pharma,2584.12,119.68,2024-06-11 19:35:00,2024-06-16 19:35:00,Pune,West Bengal,False,Bluedart,Surface
ST2025000106,7910,2024-11-22 23:12:00,Placed,Wallet,SKU01329,Food,2603.84,406.16,2024-11-23 23:12:00,2024-11-25 23:12:00,Hyderabad,Tamil Nadu,False,XpressBees,Air
ST2025000107,7938,2024-04-30 21:32:00,Delivered,Card,SKU01030,Food,2397.57,72.33,2024-05-05 21:32:00,2024-05-03 21:32:00,Chennai,Maharashtra,False,Delhivery,Air
ST2025000108,5488,2024-10-23 05:39:00,Delivered,UPI,SKU02377,Grooming,1278.17,406.43,2024-10-28 05:39:00,2024-10-25 05:39:00,Chennai,Karnataka,True,Delhivery,Surface
ST2025000109,1206,2024-04-02 11:23:00,Shipped,COD,SKU03242,Accessories,3797.51,292.12,2024-04-07 11:23:00,2024-04-08 11:23:00,Kolkata,West Bengal,False,Delhivery,Surface
ST2025000110,6134,2024-07-03 12:14:00,Delivered,Card,SKU01992,Vet Pharma,1659.08,370.18,2024-07-06 12:14:00,2024-07-05 12:14:00,Bangalore,Delhi,False,Delhivery,Air
ST2025000111,6977,2024-09-21 14:00:00,Shipped,UPI,SKU03872,Grooming,985.04,322.25,2024-09-25 14:00:00,2024-09-28 14:00:00,Kolkata,Maharashtra,False,Bluedart,Air
ST2025000112,8721,2024-07-06 04:56:00,Delivered,UPI,SKU02386,Vet Pharma,2284.87,208.49,2024-07-09 04:56:00,2024-07-08 04:56:00,Chennai,Delhi,False,XpressBees,Air
ST2025000113,8035,2024-09-16 02:36:00,Delivered,COD,SKU03141,Food,3033.38,145.99,2024-09-18 02:36:00,2024-09-21 02:36:00,Delhi,Telangana,False,XpressBees,Surface
ST2025000114,2484,2024-07-02 06:18:00,Delivered,Card,SKU00882,Food,197.1,336.36,2024-07-03 06:18:00,2024-07-06 06:18:00,Chennai,Maharashtra,False,Ecom,Air
ST2025000115,8858,2024-08-31 08:16:00,Shipped,Card,SKU00539,Accessories,1213.92,403.46,2024-09-02 08:16:00,2024-09-03 08:16:00,Chennai,Maharashtra,False,Ecom,Surface
ST2025000116,1863,2024-11-14 17:09:00,Shipped,Wallet,SKU04833,Vet Pharma,3326.16,22.37,2024-11-18 17:09:00,2024-11-19 17:09:00,Delhi,Delhi,False,Delhivery,Air
ST2025000117,3790,2024-06-07 21:12:00,Delivered,Card,SKU01858,Vet Pharma,2102.03,189.95,2024-06-11 21:12:00,2024-06-13 21:12:00,Delhi,Tamil Nadu,False,Ecom,Surface
ST2025000118,8408,2024-02-10 10:30:00,Delivered,UPI,SKU03558,Food,1722.68,175.36,2024-02-14 10:30:00,2024-02-17 10:30:00,Mumbai,Telangana,False,Delhivery,Air
ST2025000119,9755,2024-10-05 08:01:00,Delivered,Wallet,SKU04539,Accessories,3733.97,279.74,2024-10-09 08:01:00,2024-10-06 08:01:00,Hyderabad,Delhi,False,Ecom,Surface
ST2025000120,6116,2024-05-07 01:00:00,Delivered,Wallet,SKU02197,Grooming,494.71,56.96,2024-05-12 01:00:00,2024-05-13 01:00:00,Hyderabad,Maharashtra,True,Delhivery,Surface
ST2025000121,7019,2024-07-20 19:04:00,Shipped,Card,SKU01951,Accessories,2519.95,466.71,2024-07-24 19:04:00,2024-07-22 19:04:00,Pune,Tamil Nadu,False,XpressBees,Air
ST2025000122,2757,2024-11-10 02:22:00,Shipped,Wallet,SKU01611,Grooming,1467.43,274.26,2024-11-14 02:22:00,2024-11-12 02:22:00,Kolkata,Telangana,False,Bluedart,Surface
ST2025000123,8574,2024-08-25 19:47:00,Placed,UPI,SKU03164,Grooming,422.67,461.88,2024-08-28 19:47:00,2024-08-27 19:47:00,Bangalore,Tamil Nadu,False,Delhivery,Surface
ST2025000124,7374,2024-03-15 13:07:00,Placed,UPI,SKU04464,Food,972.92,408.47,2024-03-19 13:07:00,2024-03-19 13:07:00,Pune,Delhi,False,Ecom,Air
ST2025000125,7892,2024-07-25 00:14:00,Delivered,COD,SKU04008,Grooming,2567.54,95.82,2024-07-26 00:14:00,2024-07-27 00:14:00,Mumbai,Tamil Nadu,True,Ecom,Surface
ST2025000126,2678,2024-03-04 18:45:00,Shipped,UPI,SKU04676,Vet Pharma,258.87,66.17,2024-03-07 18:45:00,2024-03-08 18:45:00,Pune,Maharashtra,False,Ecom,Surface
ST2025000127,4242,2024-01-12 05:55:00,Placed,COD,SKU04752,Food,2430.16,430.63,2024-01-13 05:55:00,2024-01-17 05:55:00,Mumbai,Maharashtra,False,Delhivery,Surface
ST2025000128,5636,2024-01-19 03:08:00,Delivered,Wallet,SKU00227,Accessories,3833.87,268.05,2024-01-21 03:08:00,2024-01-26 03:08:00,Mumbai,Karnataka,True,XpressBees,Air
ST2025000129,2059,2024-10-19 01:20:00,Placed,COD,SKU00592,Accessories,3211.12,9.87,2024-10-20 01:20:00,2024-10-23 01:20:00,Kolkata,Telangana,False,Bluedart,Surface
ST2025000130,7668,2024-02-15 17:51:00,Delivered,Card,SKU04120,Grooming,1480.55,467.11,2024-02-20 17:51:00,2024-02-19 17:51:00,Mumbai,Delhi,False,Ecom,Surface
ST2025000131,4157,2024-11-13 11:35:00,Shipped,COD,SKU02076,Vet Pharma,682.1,236.51,2024-11-15 11:35:00,2024-11-16 11:35:00,Kolkata,Tamil Nadu,True,Ecom,Surface
ST2025000132,6915,2024-08-13 05:20:00,Placed,Card,SKU04949,Accessories,1940.5,150.47,2024-08-17 05:20:00,2024-08-16 05:20:00,Kolkata,West Bengal,False,Delhivery,Surface
ST2025000133,3693,2024-05-31 19:39:00,Shipped,Wallet,SKU02672,Grooming,1662.86,258.3,2024-06-02 19:39:00,2024-06-07 19:39:00,Chennai,Maharashtra,True,Bluedart,Surface
ST2025000134,4627,2024-02-22 09:52:00,Placed,COD,SKU01369,Accessories,3891.17,411.46,2024-02-25 09:52:00,2024-02-25 09:52:00,Mumbai,Karnataka,True,Delhivery,Air
ST2025000135,6450,2024-07-02 12:53:00,Delivered,UPI,SKU02023,Vet Pharma,3960.99,55.15,2024-07-07 12:53:00,2024-07-03 12:53:00,Pune,Delhi,False,XpressBees,Air
ST2025000136,2663,2024-07-28 09:31:00,Delivered,Card,SKU02079,Grooming,1730.75,179.47,2024-07-29 09:31:00,2024-07-30 09:31:00,Bangalore,Maharashtra,False,Bluedart,Surface
