ticket_id,customer_id,order_id,issue_category,created_at,resolved_at,resolution_status,csat_score
TKT000056,9218,ST2025002690,Vet Consult,2024-07-27 00:41:00,2024-08-03 10:41:00,Resolved,3
TKT000057,6415,ST2025005279,Product Issue,2024-05-04 21:20:00,2024-05-05 21:20:00,Resolved,4
TKT000058,6428,ST2025003786,Payment Issue,2024-12-06 20:00:00,2024-12-08 14:00:00,Resolved,4
TKT000059,1539,ST2025006500,Vet Consult,2024-10-06 23:35:00,2024-10-10 10:35:00,Resolved,2
TKT000060,1364,ST2025003837,Vet Consult,2024-08-01 09:04:00,2024-08-08 08:04:00,Resolved,1
TKT000061,1095,ST2025007461,Payment Issue,2024-07-10 10:18:00,2024-07-12 07:18:00,Resolved,2
TKT000062,4206,ST2025007324,Payment Issue,2024-07-03 14:39:00,2024-07-06 17:39:00,Resolved,1
TKT000063,5567,ST2025000629,Delivery Delay,2024-02-16 19:01:00,2024-02-24 03:01:00,Resolved,4
TKT000064,7558,ST2025002072,Delivery Delay,2024-07-09 11:52:00,2024-07-15 05:52:00,Pending,2
TKT000065,1698,ST2025009722,Delivery Delay,2024-06-15 04:50:00,2024-06-21 20:50:00,Resolved,1
TKT000066,4072,ST2025000611,Vet Consult,2024-04-11 17:43:00,2024-04-14 15:43:00,Escalated,1
TKT000067,8963,ST2025008660,Vet Consult,2024-06-05 14:00:00,2024-06-11 08:00:00,Resolved,4
TKT000068,7046,ST2025006823,Payment Issue,2024-02-25 21:59:00,2024-03-01 12:59:00,Resolved,5
TKT000069,3470,ST2025005902,Payment Issue,2024-04-11 15:11:00,2024-04-12 06:11:00,Resolved,4
TKT000070,7354,ST2025007147,Payment Issue,2024-08-08 03:40:00,2024-08-11 16:40:00,Resolved,4
TKT000071,3262,ST2025009357,Payment Issue,2024-12-15 14:07:00,2024-12-21 09:07:00,Resolved,5
TKT000072,5512,ST2025003978,Vet Consult,2024-04-22 05:04:00,2024-04-30 05:04:00,Escalated,2
TKT000073,4849,ST2025005733,Delivery Delay,2024-01-09 10:50:00,2024-01-12 09:50:00,Resolved,3
TKT000074,5875,ST2025005122,Vet Consult,2024-05-16 18:23:00,2024-05-17 17:23:00,Pending,1
TKT000075,1324,ST2025007168,Vet Consult,2024-04-11 15:07:00,2024-04-11 18:07:00,Resolved,3
TKT000076,7475,ST2025006758,Vet Consult,2024-11-24 16:36:00,2024-11-29 20:36:00,Resolved,2
TKT000077,8056,ST2025001201,Product Issue,2024-04-30 18:38:00,2024-05-01 04:38:00,Resolved,2
TKT000078,3713,ST2025005445,Product Issue,2024-02-16 18:35:00,2024-02-22 01:35:00,Pending,4
TKT000079,5095,ST2025009684,Product Issue,2024-09-19 11:02:00,2024-09-25 04:02:00,Resolved,2
TKT000080,9683,ST2025003905,Vet Consult,2024-01-31 04:01:00,2024-01-31 21:01:00,Resolved,4
TKT000081,8043,ST2025005194,Delivery Delay,2024-01-22 21:00:00,2024-01-26 17:00:00,Resolved,1
TKT000082,6136,ST2025008360,Payment Issue,2024-05-28 22:54:00,2024-05-29 05:54:00,Resolved,4
TKT000083,5910,ST2025000641,Vet Consult,2024-12-01 03:37:00,2024-12-04 15:37:00,Resolved,3
TKT000084,3914,ST2025009604,Product Issue,2024-06-16 05:12:00,2024-06-21 02:12:00,Resolved,1
TKT000085,6688,ST2025004020,Payment Issue,2024-05-26 21:30:00,2024-06-03 20:30:00,Resolved,1
TKT000086,5811,ST2025004940,Payment Issue,2024-05-31 19:26:00,2024-06-08 03:26:00,Resolved,1
TKT000087,4306,ST2025009831,Delivery Delay,2024-10-15 20:54:00,2024-10-22 20:54:00,Resolved,5
TKT000088,8526,ST2025000964,Vet Consult,2024-04-03 21:22:00,2024-04-08 01:22:00,Pending,2
TKT000089,9823,ST2025008930,Delivery Delay,2024-07-17 22:14:00,2024-07-19 02:14:00,Pending,3
TKT000090,6501,ST2025003182,Product Issue,2024-09-19 18:51:00,2024-09-26 07:51:00,Resolved,1
TKT000091,1158,ST2025009170,Vet Consult,2024-02-20 05:11:00,2024-02-23 03:11:00,Escalated,3
TKT000092,8683,ST2025007537,Delivery Delay,2024-11-16 07:43:00,2024-11-23 05:43:00,Resolved,3
TKT000093,1001,ST2025005946,Vet Consult,2024-10-04 03:45:00,2024-10-07 16:45:00,Pending,4
TKT000094,6108,ST2025007133,Vet Consult,2024-06-10 05:30:00,2024-06-17 09:30:00,Resolved,1
TKT000095,3983,ST2025004117,Product Issue,2024-06-21 02:11:00,2024-06-29 03:11:00,Pending,2
TKT000096,8027,ST2025008973,Vet Consult,2024-07-08 10:32:00,2024-07-15 10:32:00,Resolved,3
TKT000097,6116,ST2025009470,Product Issue,2024-06-28 11:16:00,2024-06-28 20:16:00,Escalated,4
TKT000098,8950,ST2025005318,Vet Consult,2024-02-11 16:01:00,2024-02-14 02:01:00,Escalated,4
TKT000099,9146,ST2025003035,Vet Consult,2024-10-15 14:17:00,2024-10-23 03:17:00,Resolved,2
TKT000100,6260,ST2025001297,Delivery Delay,2024-04-12 15:50:00,2024-04-15 03:50:00,Pending,5
TKT000101,3542,ST2025005939,Vet Consult,2024-08-21 18:03:00,2024-08-23 12:03:00,Resolved,1
TKT000102,2030,ST2025006943,Payment Issue,2024-04-25 00:10:00,2024-04-26 00:10:00,Resolved,2
TKT000103,3327,ST2025003300,Product Issue,2024-02-15 02:01:00,2024-02-16 03:01:00,Resolved,3
TKT000104,1125,ST2025004329,Vet Consult,2024-12-04 11:13:00,2024-12-10 06:13:00,Resolved,1
TKT000105,8450,ST2025002131,Vet Consult,2024-07-02 10:37:00,2024-07-09 09:37:00,Pending,1
TKT000106,5711,ST2025006101,Delivery Delay,2024-11-14 16:00:00,2024-11-17 21:00:00,Resolved,1
TKT000107,7568,ST2025000955,Vet Consult,2024-05-29 20:22:00,2024-06-04 19:22:00,Resolved,5
TKT000108,7952,ST2025001146,Payment Issue,2024-05-01 12:32:00,2024-05-03 18:32:00,Resolved,3
TKT000109,7570,ST2025002074,Delivery Delay,2024-02-21 17:47:00,2024-02-27 22:47:00,Resolved,1
TKT000110,3347,ST2025006593,Delivery Delay,2024-08-09 11:14:00,2024-08-11 22:14:00,Pending,2
TKT000111,8605,ST2025006029,Delivery Delay,2024-04-09 19:45:00,2024-04-14 15:45:00,Escalated,2
TKT000112,2887,ST2025009600,Product Issue,2024-10-25 01:42:00,2024-10-27 04:42:00,Resolved,3
TKT000113,2004,ST2025005860,Delivery Delay,2024-09-20 15:37:00,2024-09-26 12:37:00,Pending,1
TKT000114,9835,ST2025002247,Vet Consult,2024-01-20 21:27:00,2024-01-27 00:27:00,Resolved,5
TKT000115,5648,ST2025000200,Payment Issue,2024-12-21 12:50:00,2024-12-28 14:50:00,Resolved,1
TKT000116,7943,ST2025001180,Vet Consult,2024-03-29 02:33:00,2024-04-02 22:33:00,Resolved,5
TKT000117,3741,ST2025003026,Vet Consult,2024-07-05 04:10:00,2024-07-13 00:10:00,Pending,1
TKT000118,5061,ST2025001738,Vet Consult,2024-08-18 20:46:00,2024-08-20 18:46:00,Resolved,2
TKT000119,1319,ST2025000487,Product Issue,2024-04-30 13:59:00,2024-05-04 04:59:00,Pending,1
TKT000120,7082,ST2025003383,Product Issue,2024-03-03 16:37:00,2024-03-08 03:37:00,Resolved,2
TKT000121,4476,ST2025001455,Payment Issue,2024-10-23 04:38:00,2024-10-26 12:38:00,Resolved,3
TKT000122,2589,ST2025005851,Vet Consult,2024-10-28 12:35:00,2024-11-04 17:35:00,Resolved,4
TKT000123,4792,ST2025002653,Vet Consult,2024-12-16 21:50:00,2024-12-20 16:50:00,Pending,5
TKT000124,3907,ST2025004807,Delivery Delay,2024-11-14 16:01:00,2024-11-15 06:01:00,Resolved,1
TKT000125,7021,ST2025004538,Vet Consult,2024-04-29 00:30:00,2024-05-05 15:30:00,Resolved,3
TKT000126,3185,ST2025000120,Product Issue,2024-07-02 19:45:00,2024-07-09 13:45:00,Resolved,4
TKT000127,4083,ST2025001783,Delivery Delay,2024-04-22 00:56:00,2024-04-23 18:56:00,Pending,5
TKT000128,4518,ST2025002049,Delivery Delay,2024-01-09 06:17:00,2024-01-16 01:17:00,Pending,4
TKT000129,4727,ST2025006673,Vet Consult,2024-02-16 03:23:00,2024-02-19 04:23:00,Resolved,5
TKT000130,8619,ST2025000966,Delivery Delay,2024-03-25 19:12:00,2024-03-26 23:12:00,Resolved,2
TKT000131,8244,ST2025009243,Product Issue,2024-10-30 16:30:00,2024-11-05 06:30:00,Escalated,1
TKT000132,8370,ST2025000753,Product Issue,2024-01-31 01:37:00,2024-02-01 02:37:00,Pending,3
TKT000133,1935,ST2025007806,Payment Issue,2024-04-29 02:09:00,2024-05-03 02:09:00,Resolved,4
TKT000134,1784,ST2025002996,Product Issue,2024-06-09 15:22:00,2024-06-14 14:22:00,Resolved,3
TKT000135,1704,ST2025004848,Delivery Delay,2024-03-17 14:12:00,2024-03-18 23:12:00,Resolved,2
TKT000136,8789,ST2025005141,Product Issue,2024-02-09 01:24:00,2024-02-15 21:24:00,Resolved,4
TKT000137,5717,ST2025000615,Delivery Delay,2024-07-16 15:43:00,2024-07-20 08:43:00,Resolved,3
TKT000138,2736,ST2025004178,Delivery Delay,2024-12-26 19:46:00,2024-12-27 23:46:00,Resolved,4
TKT000139,3722,ST2025003787,Vet Consult,2024-08-22 13:02:00,2024-08-27 10:02:00,Resolved,2
TKT000140,2145,ST2025001226,Payment Issue,2024-05-12 07:21:00,2024-05-16 03:21:00,Resolved,1
TKT000141,6693,ST2025002102,Payment Issue,2024-10-25 02:54:00,2024-10-25 04:54:00,Pending,2
TKT000142,6222,ST2025004019,Vet Consult,2024-07-13 17:23:00,2024-07-16 17:23:00,Resolved,4
TKT000143,5181,ST2025004415,Delivery Delay,2024-02-20 09:50:00,2024-02-24 06:50:00,Resolved,3
TKT000144,1802,ST2025004056,Delivery Delay,2024-07-06 23:43:00,2024-07-10 02:43:00,Escalated,1
TKT000145,3165,ST2025001804,Delivery Delay,2024-01-21 00:40:00,2024-01-23 00:40:00,Resolved,5
TKT000146,4511,ST2025002237,Delivery Delay,2024-01-25 10:27:00,2024-02-01 03:27:00,Pending,3
TKT000147,8933,ST2025008401,Delivery Delay,2024-07-30 11:30:00,2024-08-05 01:30:00,Resolved,5
TKT000148,1082,ST2025008510,Payment Issue,2024-06-02 19:39:00,2024-06-06 03:39:00,Resolved,5
TKT000149,6395,ST2025006770,Delivery Delay,2024-11-08 09:06:00,2024-11-14 15:06:00,Resolved,5
TKT000150,7496,ST2025001978,Payment Issue,2024-09-25 22:10:00,2024-09-28 15:10:00,Pending,5
TKT000151,6062,ST2025006545,Product Issue,2024-03-25 21:02:00,2024-03-29 10:02:00,Resolved,3
TKT000152,1663,ST2025008325,Payment Issue,2024-04-01 05:49:00,2024-04-04 17:49:00,Resolved,5
TKT000153,5199,ST2025000112,Delivery Delay,2024-03-14 21:41:00,2024-03-20 15:41:00,Resolved,2
TKT000154,7343,ST2025006338,Delivery Delay,2024-08-01 19:17:00,2024-08-05 19:17:00,Pending,5
TKT000155,5636,ST2025009580,Vet Consult,2024-08-11 09:37:00,2024-08-15 23:37:00,Resolved,2
TKT000156,1919,ST2025001429,Payment Issue,2024-04-27 12:32:00,2024-04-28 23:32:00,Resolved,3
TKT000157,1878,ST2025003713,Payment Issue,2024-04-27 05:20:00,2024-05-02 18:20:00,Escalated,3
TKT000158,9306,ST2025000279,Product Issue,2024-09-30 03:13:00,2024-10-01 06:13:00,Resolved,5
TKT000159,9706,ST2025001459,Vet Consult,2024-09-27 17:55:00,2024-10-02 22:55:00,Resolved,4
TKT000160,2816,ST2025007807,Vet Consult,2024-07-30 02:45:00,2024-08-05 20:45:00,Resolved,3
TKT000161,6715,ST2025001903,Payment Issue,2024-11-07 03:11:00,2024-11-08 00:11:00,Pending,5
TKT000162,4572,ST2025004113,Payment Issue,2024-11-30 09:52:00,2024-12-03 21:52:00,Resolved,3
TKT000163,6214,ST2025006750,Vet Consult,2024-05-01 19:37:00,2024-05-04 15:37:00,Resolved,2
TKT000164,9705,ST2025002489,Vet Consult,2024-05-13 11:06:00,2024-05-20 08:06:00,Resolved,4
TKT000165,4420,ST2025002753,Delivery Delay,2024-02-17 21:48:00,2024-02-19 06:48:00,Resolved,5
TKT000166,4417,ST2025004932,Delivery Delay,2024-06-22 08:50:00,2024-06-25 17:50:00,Resolved,4
TKT000167,6993,ST2025007006,Vet Consult,2024-01-28 06:03:00,2024-01-30 12:03:00,Resolved,3
TKT000168,2462,ST2025008936,Product Issue,2024-10-08 19:03:00,2024-10-15 17:03:00,Resolved,5
TKT000169,7333,ST2025000524,Product Issue,2024-05-15 02:57:00,2024-05-15 17:57:00,Resolved,3
TKT000170,5992,ST2025008012,Delivery Delay,2024-03-14 17:49:00,2024-03-20 08:49:00,Escalated,5
TKT000171,6442,ST2025005500,Delivery Delay,2024-07-04 05:39:00,2024-07-09 17:39:00,Pending,5
TKT000172,8650,ST2025008737,Delivery Delay,2024-06-28 02:00:00,2024-07-04 04:00:00,Resolved,4
TKT000173,7583,ST2025005193,Product Issue,2024-01-03 06:39:00,2024-01-04 11:39:00,Pending,3
TKT000174,5493,ST2025003018,Vet Consult,2024-06-16 05:26:00,2024-06-18 17:26:00,Resolved,4
TKT000175,1044,ST2025008409,Vet Consult,2024-08-18 18:24:00,2024-08-20 19:24:00,Pending,1
TKT000176,3761,ST2025006665,Product Issue,2024-07-12 21:59:00,2024-07-18 11:59:00,Resolved,1
TKT000177,7547,ST2025000174,Product Issue,2024-10-19 17:02:00,2024-10-26 04:02:00,Resolved,3
TKT000178,5272,ST2025002357,Payment Issue,2024-04-23 08:42:00,2024-04-30 02:42:00,Escalated,5
TKT000179,7745,ST2025007830,Payment Issue,2024-10-20 02:57:00,2024-10-27 03:57:00,Resolved,3
TKT000180,1784,ST2025002093,Product Issue,2024-06-07 04:38:00,2024-06-07 21:38:00,Resolved,2
TKT000181,3176,ST2025009300,Vet Consult,2024-06-28 15:05:00,2024-07-02 05:05:00,Resolved,4
TKT000182,1894,ST2025007760,Delivery Delay,2024-10-08 06:37:00,2024-10-12 18:37:00,Resolved,3
TKT000183,3971,ST2025006774,Product Issue,2024-07-27 09:41:00,2024-08-01 18:41:00,Resolved,4
TKT000184,1574,ST2025003082,Payment Issue,2024-02-17 18:57:00,2024-02-23 17:57:00,Escalated,3
TKT000185,6131,ST2025007045,Vet Consult,2024-11-06 15:46:00,2024-11-08 16:46:00,Resolved,1
TKT000186,7683,ST2025005386,Product Issue,2024-06-10 19:03:00,2024-06-14 03:03:00,Resolved,5
TKT000187,5481,ST2025001058,Payment Issue,2024-06-15 08:48:00,2024-06-21 18:48:00,Resolved,1
TKT000188,8411,ST2025009551,Vet Consult,2024-02-08 03:21:00,2024-02-11 05:21:00,Resolved,4
TKT000189,5060,ST2025005495,Payment Issue,2024-04-20 04:04:00,2024-04-23 15:04:00,Resolved,1
TKT000190,7960,ST2025009017,Product Issue,2024-07-19 11:21:00,2024-07-23 06:21:00,Resolved,4
TKT000191,4741,ST2025005841,Vet Consult,2024-11-29 16:48:00,2024-12-04 01:48:00,Escalated,5
TKT000192,3587,ST2025002710,Product Issue,2024-03-01 00:59:00,2024-03-04 15:59:00,Resolved,4
TKT000193,6879,ST2025003702,Payment Issue,2024-08-10 15:49:00,2024-08-12 18:49:00,Resolved,5
TKT000194,9259,ST2025001590,Delivery Delay,2024-12-17 02:01:00,2024-12-20 22:01:00,Escalated,2
TKT000195,1350,ST2025006056,Delivery Delay,2024-06-18 08:14:00,2024-06-26 03:14:00,Pending,1
TKT000196,8226,ST2025003251,Delivery Delay,2024-01-10 16:54:00,2024-01-18 01:54:00,Escalated,4
TKT000197,4823,ST2025001436,Product Issue,2024-08-24 04:55:00,2024-08-27 23:55:00,Resolved,1
TKT000198,6302,ST2025001575,Payment Issue,2024-04-14 15:18:00,2024-04-22 00:18:00,Pending,4
TKT000199,2102,ST2025008313,Vet Consult,2024-02-02 20:18:00,2024-02-10 14:18:00,Resolved,1
TKT000200,1972,ST2025007436,Vet Consult,2024-07-21 20:15:00,2024-07-28 02:15:00,Pending,5
TKT000201,6468,ST2025000691,Vet Consult,2024-11-05 15:54:00,2024-11-08 20:54:00,Resolved,4
TKT000202,5709,ST2025005898,Product Issue,2024-08-16 19:31:00,2024-08-18 12:31:00,Resolved,4
TKT000203,2721,ST2025007828,Product Issue,2024-01-22 15:57:00,2024-01-27 18:57:00,Resolved,5
TKT000204,9143,ST2025009068,Payment Issue,2024-04-20 08:22:00,2024-04-23 19:22:00,Resolved,4
TKT000205,8694,ST2025005987,Delivery Delay,2024-11-03 17:41:00,2024-11-10 06:41:00,Escalated,4
TKT000206,6959,ST2025004663,Delivery Delay,2024-04-20 00:16:00,2024-04-23 17:16:00,Resolved,1
TKT000207,5019,ST2025002312,Product Issue,2024-10-24 23:36:00,2024-10-26 10:36:00,Pending,5
TKT000208,2831,ST2025001255,Delivery Delay,2024-06-11 09:03:00,2024-06-14 12:03:00,Resolved,5
TKT000209,5838,ST2025003332,Payment Issue,2024-06-18 01:01:00,2024-06-25 23:01:00,Resolved,4
TKT000210,4104,ST2025002823,Vet Consult,2024-01-16 22:05:00,2024-01-18 08:05:00,Resolved,4
TKT000211,8243,ST2025006042,Delivery Delay,2024-11-22 10:05:00,2024-11-28 11:05:00,Resolved,5
TKT000212,5092,ST2025008663,Vet Consult,2024-02-06 05:18:00,2024-02-09 12:18:00,Resolved,3
TKT000213,1818,ST2025006047,Delivery Delay,2024-12-14 16:55:00,2024-12-17 14:55:00,Resolved,4
TKT000214,7309,ST2025008312,Product Issue,2024-04-05 15:45:00,2024-04-10 23:45:00,Resolved,1
TKT000215,2587,ST2025004317,Delivery Delay,2024-02-10 03:26:00,2024-02-14 15:26:00,Resolved,4
TKT000216,9529,ST2025006993,Product Issue,2024-01-13 09:48:00,2024-01-16 12:48:00,Resolved,4
TKT000217,6697,ST2025000408,Delivery Delay,2024-02-11 10:08:00,2024-02-12 17:08:00,Resolved,2
TKT000218,6812,ST2025008738,Product Issue,2024-02-23 05:01:00,2024-02-27 17:01:00,Resolved,1
TKT000219,3610,ST2025005226,Vet Consult,2024-10-02 23:14:00,2024-10-03 15:14:00,Resolved,3
TKT000220,2568,ST2025003653,Payment Issue,2024-06-09 19:29:00,2024-06-16 16:29:00,Resolved,4
TKT000221,1198,ST2025009873,Vet Consult,2024-07-08 04:07:00,2024-07-16 04:07:00,Escalated,1
TKT000222,3059,ST2025001301,Delivery Delay,2024-07-26 20:38:00,2024-07-30 06:38:00,Resolved,5
TKT000223,1446,ST2025009708,Product Issue,2024-04-14 03:20:00,2024-04-15 13:20:00,Pending,1
TKT000224,8942,ST2025000966,Delivery Delay,2024-02-16 09:46:00,2024-02-20 04:46:00,Resolved,1
TKT000225,7666,ST2025009893,Delivery Delay,2024-09-30 20:37:00,2024-10-08 20:37:00,Resolved,1
TKT000226,3711,ST2025001468,Vet Consult,2024-10-07 00:27:00,2024-10-09 23:27:00,Resolved,4
TKT000227,2409,ST2025005314,Product Issue,2024-07-02 03:58:00,2024-07-07 15:58:00,Resolved,2
TKT000228,6499,ST2025004212,Product Issue,2024-03-14 17:17:00,2024-03-17 23:17:00,Resolved,2
TKT000229,1840,ST2025002019,Vet Consult,2024-10-06 03:23:00,2024-10-09 06:23:00,Resolved,4
TKT000230,4966,ST2025007220,Payment Issue,2024-07-02 07:37:00,2024-07-07 06:37:00,Resolved,2
TKT000231,9627,ST2025000886,Product Issue,2024-10-07 01:20:00,2024-10-11 23:20:00,Resolved,5
TKT000232,4727,ST2025001441,Product Issue,2024-07-09 01:28:00,2024-07-17 00:28:00,Pending,1
TKT000233,1814,ST2025006215,Delivery Delay,2024-02-05 08:21:00,2024-02-11 06:21:00,Resolved,4
TKT000234,7748,ST2025007507,Delivery Delay,2024-05-31 12:55:00,2024-06-07 06:55:00,Pending,2
TKT000235,2137,ST2025004086,Product Issue,2024-07-28 06:44:00,2024-07-30 21:44:00,Pending,3
TKT000236,7548,ST2025007977,Product Issue,2024-04-24 04:09:00,2024-04-28 17:09:00,Pending,2
TKT000237,5887,ST2025002249,Delivery Delay,2024-04-15 08:05:00,2024-04-21 13:05:00,Escalated,3
TKT000238,8218,ST2025006876,Payment Issue,2024-07-24 02:01:00,2024-07-25 14:01:00,Resolved,1
TKT000239,8035,ST2025007974,Payment Issue,2024-07-31 11:10:00,2024-08-08 18:10:00,Resolved,2
TKT000240,9080,ST2025002607,Vet Consult,2024-12-22 04:16:00,2024-12-29 05:16:00,Resolved,2
TKT000241,7938,ST2025004567,Product Issue,2024-05-17 01:18:00,2024-05-23 01:18:00,Resolved,2
TKT000242,9666,ST2025005532,Delivery Delay,2024-09-20 22:49:00,2024-09-24 15:49:00,Pending,2
TKT000243,4775,ST2025003153,Payment Issue,2024-01-15 11:53:00,2024-01-19 05:53:00,Resolved,4
TKT000244,1634,ST2025002279,Payment Issue,2024-10-14 07:11:00,2024-10-20 08:11:00,Resolved,4
TKT000245,4262,ST2025003340,Payment Issue,2024-08-14 13:37:00,2024-08-20 16:37:00,Pending,2
TKT000246,1209,ST2025008072,Vet Consult,2024-09-02 17:25:00,2024-09-04 15:25:00,Resolved,1
TKT000247,5175,ST2025009104,Product Issue,2024-08-03 00:22:00,2024-08-04 19:22:00,Resolved,5
TKT000248,1115,ST2025007093,Delivery Delay,2024-03-16 06:16:00,2024-03-17 06:16:00,Resolved,2
