order_id,warehouse,first_mile_scan,hub_in_scan,out_for_delivery,rto_flag,courier_delay_flag,weight,shipment_tat_hours
ST2025000021,GGN,2024-09-06 15:47:00,2024-09-07 11:47:00,2024-09-08 22:47:00,False,True,2.68,42
ST2025000022,BOM,2024-03-24 06:47:00,2024-03-24 20:47:00,2024-03-26 21:47:00,False,False,0.38,97
ST2025000023,BOM,2024-11-22 13:00:00,2024-11-22 21:00:00,2024-11-24 13:00:00,True,False,1.72,113
ST2025000024,HYD,2024-12-31 05:23:00,2024-12-31 07:23:00,2025-01-01 04:23:00,False,False,1.89,67
ST2025000025,BOM,2024-05-25 00:54:00,2024-05-25 16:54:00,2024-05-27 18:54:00,True,False,2.7,79
ST2025000026,GGN,2024-10-01 09:02:00,2024-10-02 02:02:00,2024-10-02 09:02:00,False,False,0.97,198
ST2025000027,BOM,2024-02-11 12:39:00,2024-02-11 22:39:00,2024-02-12 14:39:00,False,False,0.85,31
ST2025000028,DEL,2024-02-03 00:55:00,2024-02-03 14:55:00,2024-02-04 12:55:00,False,False,2.14,69
ST2025000029,GGN,2024-08-23 09:38:00,2024-08-23 18:38:00,2024-08-24 00:38:00,False,True,2.32,194
ST2025000030,HYD,2024-05-02 10:29:00,2024-05-03 10:29:00,2024-05-04 00:29:00,False,False,1.62,77
ST2025000031,GGN,2024-01-08 05:14:00,2024-01-08 23:14:00,2024-01-09 12:14:00,False,False,2.75,26
ST2025000032,HYD,2024-01-24 19:47:00,2024-01-25 03:47:00,2024-01-25 17:47:00,False,False,0.83,164
ST2025000033,BOM,2024-03-08 01:58:00,2024-03-09 10:58:00,2024-03-09 11:58:00,False,False,2.35,150
ST2025000034,BLR,2024-12-08 07:49:00,2024-12-08 17:49:00,2024-12-10 18:49:00,False,False,0.9,179
ST2025000035,BLR,2024-08-30 15:26:00,2024-08-31 16:26:00,2024-09-01 06:26:00,False,False,2.91,65
ST2025000036,DEL,2024-04-25 18:53:00,2024-04-26 13:53:00,2024-04-26 13:53:00,False,False,2.88,151
ST2025000037,HYD,2024-05-21 20:47:00,2024-05-22 15:47:00,2024-05-24 11:47:00,False,False,1.73,43
ST2025000038,DEL,2024-09-25 01:43:00,2024-09-25 11:43:00,2024-09-25 21:43:00,False,False,2.58,108
ST2025000039,BLR,2024-07-14 13:00:00,2024-07-15 15:00:00,2024-07-16 18:00:00,False,False,2.96,188
ST2025000040,DEL,2024-01-02 14:15:00,2024-01-03 06:15:00,2024-01-04 14:15:00,False,False,0.52,126
ST2025000041,BLR,2024-08-19 12:29:00,2024-08-20 01:29:00,2024-08-20 11:29:00,False,False,0.99,94
ST2025000042,DEL,2024-04-26 04:56:00,2024-04-27 06:56:00,2024-04-28 10:56:00,False,False,1.67,48
ST2025000043,BOM,2024-04-29 05:43:00,2024-04-29 15:43:00,2024-05-01 03:43:00,False,False,1.69,26
ST2025000044,GGN,2024-08-15 15:29:00,2024-08-16 10:29:00,2024-08-17 23:29:00,False,False,1.04,164
ST2025000045,HYD,2024-10-17 17:55:00,2024-10-18 20:55:00,2024-10-18 16:55:00,False,False,0.99,132
ST2025000046,BOM,2024-02-26 10:06:00,2024-02-27 03:06:00,2024-02-28 18:06:00,True,False,2.45,94
ST2025000047,BOM,2024-09-17 20:47:00,2024-09-18 13:47:00,2024-09-19 15:47:00,False,False,2.46,148
ST2025000048,BOM,2024-08-21 07:56:00,2024-08-22 02:56:00,2024-08-23 19:56:00,False,False,1.53,117
ST2025000049,BOM,2024-11-02 06:29:00,2024-11-02 23:29:00,2024-11-03 18:29:00,False,False,2.66,178
ST2025000050,HYD,2024-05-30 17:09:00,2024-05-31 14:09:00,2024-05-31 15:09:00,False,False,0.56,37
ST2025000051,GGN,2024-05-01 20:28:00,2024-05-02 14:28:00,2024-05-03 13:28:00,False,False,0.47,30
ST2025000052,DEL,2024-04-25 03:23:00,2024-04-25 19:23:00,2024-04-25 20:23:00,False,False,1.99,189
ST2025000053,BOM,2024-02-26 17:18:00,2024-02-27 02:18:00,2024-02-29 01:18:00,False,False,1.64,62
ST2025000054,HYD,2024-12-23 16:27:00,2024-12-24 11:27:00,2024-12-26 00:27:00,False,False,2.55,160
ST2025000055,HYD,2024-05-24 23:01:00,2024-05-25 02:01:00,2024-05-27 00:01:00,False,False,1.66,79
ST2025000056,BLR,2024-11-07 05:24:00,2024-11-07 18:24:00,2024-11-09 00:24:00,False,False,0.49,120
ST2025000057,GGN,2024-01-28 16:00:00,2024-01-29 20:00:00,2024-01-31 07:00:00,False,False,1.77,178
ST2025000058,GGN,2024-06-03 12:38:00,2024-06-03 21:38:00,2024-06-05 18:38:00,False,False,0.45,188
ST2025000059,DEL,2024-02-22 04:51:00,2024-02-23 02:51:00,2024-02-23 07:51:00,False,False,2.17,193
ST2025000060,HYD,2024-05-23 03:25:00,2024-05-24 01:25:00,2024-05-24 00:25:00,False,False,1.19,186
ST2025000061,BLR,2024-11-16 00:32:00,2024-11-16 12:32:00,2024-11-16 21:32:00,False,False,0.82,76
ST2025000062,HYD,2024-12-25 12:13:00,2024-12-26 13:13:00,2024-12-27 07:13:00,False,False,2.05,87
ST2025000063,BLR,2024-03-26 05:30:00,2024-03-27 03:30:00,2024-03-28 20:30:00,False,False,1.72,58
ST2025000064,BOM,2024-01-07 08:37:00,2024-01-07 18:37:00,2024-01-10 00:37:00,False,False,2.9,156
ST2025000065,DEL,2024-08-24 18:23:00,2024-08-26 00:23:00,2024-08-26 14:23:00,False,False,0.46,192
ST2025000066,BLR,2024-01-19 21:08:00,2024-01-20 03:08:00,2024-01-22 11:08:00,False,False,1.38,189
ST2025000067,HYD,2024-07-15 18:04:00,2024-07-16 04:04:00,2024-07-16 15:04:00,False,False,2.08,107
ST2025000068,DEL,2024-01-28 03:51:00,2024-01-28 21:51:00,2024-01-28 23:51:00,False,False,1.74,155
ST2025000069,DEL,2024-08-07 22:36:00,2024-08-08 11:36:00,2024-08-09 21:36:00,True,False,0.78,35
ST2025000070,BLR,2024-10-14 09:00:00,2024-10-15 11:00:00,2024-10-15 09:00:00,False,False,2.18,166
ST2025000071,BLR,2024-01-01 19:59:00,2024-01-02 13:59:00,2024-01-04 02:59:00,True,True,2.65,41
ST2025000072,BLR,2024-11-16 05:42:00,2024-11-17 05:42:00,2024-11-17 12:42:00,False,True,1.48,190
ST2025000073,DEL,2024-01-26 20:38:00,2024-01-27 23:38:00,2024-01-27 20:38:00,False,False,0.93,184
ST2025000074,HYD,2024-03-11 19:31:00,2024-03-12 05:31:00,2024-03-12 17:31:00,False,False,0.3,116
ST2025000075,HYD,2024-04-26 20:08:00,2024-04-27 19:08:00,2024-04-28 08:08:00,False,False,0.71,87
ST2025000076,BLR,2024-10-07 19:49:00,2024-10-07 23:49:00,2024-10-09 06:49:00,True,False,0.64,45
ST2025000077,HYD,2024-01-11 10:21:00,2024-01-11 21:21:00,2024-01-13 08:21:00,True,False,1.45,71
ST2025000078,BOM,2024-12-11 02:09:00,2024-12-11 21:09:00,2024-12-12 04:09:00,False,False,1.34,184
ST2025000079,HYD,2024-04-23 02:28:00,2024-04-23 23:28:00,2024-04-25 10:28:00,False,False,0.8,57
ST2025000080,BOM,2024-07-14 10:44:00,2024-07-15 08:44:00,2024-07-16 05:44:00,False,False,1.67,74
ST2025000081,GGN,2024-07-08 13:28:00,2024-07-09 00:28:00,2024-07-10 05:28:00,False,False,1.37,62
ST2025000082,DEL,2024-08-10 01:16:00,2024-08-10 23:16:00,2024-08-12 07:16:00,False,False,2.81,199
ST2025000083,HYD,2024-11-20 12:26:00,2024-11-21 20:26:00,2024-11-21 21:26:00,True,False,1.99,100
ST2025000084,BOM,2024-09-10 02:05:00,2024-09-10 21:05:00,2024-09-11 14:05:00,False,True,2.9,158
ST2025000085,BOM,2024-03-05 07:47:00,2024-03-06 07:47:00,2024-03-06 16:47:00,False,False,1.76,83
ST2025000086,HYD,2024-03-01 21:57:00,2024-03-02 22:57:00,2024-03-02 13:57:00,False,False,1.95,77
ST2025000087,HYD,2024-09-01 00:54:00,2024-09-01 23:54:00,2024-09-02 19:54:00,True,False,1.27,183
ST2025000088,GGN,2024-11-30 11:48:00,2024-12-01 11:48:00,2024-12-01 08:48:00,False,False,2.01,184
ST2025000089,DEL,2024-05-04 05:09:00,2024-05-05 05:09:00,2024-05-06 09:09:00,False,False,0.29,32
ST2025000090,BOM,2024-06-19 10:05:00,2024-06-20 10:05:00,2024-06-21 19:05:00,False,False,0.8,96
ST2025000091,DEL,2024-12-26 14:11:00,2024-12-27 18:11:00,2024-12-29 07:11:00,False,False,0.92,87
ST2025000092,GGN,2024-01-31 01:51:00,2024-02-01 02:51:00,2024-02-02 11:51:00,True,False,1.72,127
ST2025000093,BLR,2024-07-03 04:52:00,2024-07-04 04:52:00,2024-07-03 18:52:00,False,False,2.35,102
ST2025000094,DEL,2024-08-13 02:05:00,2024-08-14 11:05:00,2024-08-15 09:05:00,False,False,1.16,133
ST2025000095,BOM,2024-10-05 12:23:00,2024-10-06 02:23:00,2024-10-07 04:23:00,False,False,1.93,160
ST2025000096,GGN,2024-12-16 19:48:00,2024-12-17 08:48:00,2024-12-18 19:48:00,False,False,0.35,89
ST2025000097,BLR,2024-02-19 18:53:00,2024-02-20 07:53:00,2024-02-20 14:53:00,False,False,0.8,65
ST2025000098,BLR,2024-10-24 08:22:00,2024-10-24 14:22:00,2024-10-26 03:22:00,False,False,1.02,110
ST2025000099,BLR,2024-12-11 23:41:00,2024-12-12 14:41:00,2024-12-13 05:41:00,False,False,1.08,192
ST2025000100,BOM,2024-01-16 11:18:00,2024-01-17 19:18:00,2024-01-18 19:18:00,False,False,1.12,53
ST2025000101,HYD,2024-12-27 02:32:00,2024-12-27 16:32:00,2024-12-28 01:32:00,False,False,0.37,170
ST2025000102,BOM,2024-04-24 22:35:00,2024-04-25 09:35:00,2024-04-26 21:35:00,True,False,1.67,58
ST2025000103,DEL,2024-07-06 11:20:00,2024-07-06 16:20:00,2024-07-07 04:20:00,True,False,1.14,78
ST2025000104,DEL,2024-03-30 19:25:00,2024-03-31 16:25:00,2024-04-01 00:25:00,False,False,0.45,179
ST2025000105,DEL,2024-06-11 03:35:00,2024-06-11 10:35:00,2024-06-13 18:35:00,False,False,2.78,102
ST2025000106,DEL,2024-11-23 01:12:00,2024-11-23 17:12:00,2024-11-24 22:12:00,False,False,0.88,101
ST2025000107,GGN,2024-05-01 07:32:00,2024-05-01 18:32:00,2024-05-02 23:32:00,True,True,1.91,183
ST2025000108,HYD,2024-10-23 09:39:00,2024-10-24 07:39:00,2024-10-25 00:39:00,False,False,0.5,94
ST2025000109,HYD,2024-04-02 14:23:00,2024-04-03 17:23:00,2024-04-04 11:23:00,False,False,1.81,190
ST2025000110,BLR,2024-07-03 21:14:00,2024-07-04 06:14:00,2024-07-06 07:14:00,False,False,2.77,31
ST2025000111,BOM,2024-09-21 19:00:00,2024-09-22 17:00:00,2024-09-23 08:00:00,False,False,2.68,111
ST2025000112,DEL,2024-07-06 07:56:00,2024-07-06 23:56:00,2024-07-08 15:56:00,True,False,1.58,176
ST2025000113,HYD,2024-09-16 04:36:00,2024-09-17 12:36:00,2024-09-17 22:36:00,False,False,1.17,132
ST2025000114,DEL,2024-07-02 14:18:00,2024-07-03 06:18:00,2024-07-03 08:18:00,False,True,1.91,61
ST2025000115,BOM,2024-08-31 15:16:00,2024-08-31 21:16:00,2024-09-02 08:16:00,False,False,1.94,136
ST2025000116,BOM,2024-11-14 21:09:00,2024-11-15 11:09:00,2024-11-17 14:09:00,False,False,0.31,123
ST2025000117,BOM,2024-06-07 23:12:00,2024-06-08 15:12:00,2024-06-09 10:12:00,False,False,1.51,104
ST2025000118,BOM,2024-02-10 13:30:00,2024-02-11 05:30:00,2024-02-13 00:30:00,False,False,0.27,119
ST2025000119,GGN,2024-10-05 16:01:00,2024-10-05 23:01:00,2024-10-07 12:01:00,False,False,0.99,70
ST2025000120,GGN,2024-05-07 06:00:00,2024-05-08 08:00:00,2024-05-09 18:00:00,False,False,2.47,46
ST2025000121,BLR,2024-07-21 05:04:00,2024-07-21 18:04:00,2024-07-22 00:04:00,False,False,1.34,134
ST2025000122,BLR,2024-11-10 12:22:00,2024-11-10 22:22:00,2024-11-11 22:22:00,False,True,0.52,172
ST2025000123,BOM,2024-08-26 02:47:00,2024-08-26 07:47:00,2024-08-28 19:47:00,True,False,1.5,198
ST2025000124,BOM,2024-03-15 22:07:00,2024-03-17 01:07:00,2024-03-17 13:07:00,False,False,1.15,45
ST2025000125,HYD,2024-07-25 09:14:00,2024-07-26 08:14:00,2024-07-27 16:14:00,False,False,2.27,166
ST2025000126,BOM,2024-03-05 01:45:00,2024-03-05 17:45:00,2024-03-05 20:45:00,False,False,0.68,119
ST2025000127,BLR,2024-01-12 13:55:00,2024-01-13 03:55:00,2024-01-14 08:55:00,False,False,2.19,179
ST2025000128,BLR,2024-01-19 05:08:00,2024-01-20 08:08:00,2024-01-21 05:08:00,False,False,2.49,170
ST2025000129,BOM,2024-10-19 09:20:00,2024-10-19 15:20:00,2024-10-21 01:20:00,False,False,0.75,73
ST2025000130,GGN,2024-02-15 19:51:00,2024-02-16 07:51:00,2024-02-18 03:51:00,False,False,2.82,80
ST2025000131,GGN,2024-11-13 16:35:00,2024-11-14 02:35:00,2024-11-15 19:35:00,False,False,0.75,122
ST2025000132,HYD,2024-08-13 15:20:00,2024-08-14 14:20:00,2024-08-15 13:20:00,False,False,1.45,136
ST2025000133,DEL,2024-05-31 22:39:00,2024-06-01 20:39:00,2024-06-03 16:39:00,False,False,2.66,85
ST2025000134,GGN,2024-02-22 15:52:00,2024-02-23 02:52:00,2024-02-24 03:52:00,False,False,1.7,82
ST2025000135,GGN,2024-07-02 21:53:00,2024-07-03 15:53:00,2024-07-05 03:53:00,False,False,1.57,31
ST2025000136,BLR,2024-07-28 16:31:00,2024-07-29 09:31:00,2024-07-31 09:31:00,False,False,2.57,143
ST2025000137,BLR,2024-12-10 00:41:00,2024-12-10 12:41:00,2024-12-12 07:41:00,False,False,1.75,97
ST2025000138,DEL,2024-12-08 18:36:00,2024-12-09 08:36:00,2024-12-09 13:36:00,False,False,1.97,73
ST2025000139,BOM,2024-03-11 09:01:00,2024-03-12 10:01:00,2024-03-12 07:01:00,False,False,1.55,80
ST2025000140,HYD,2024-01-24 06:02:00,2024-01-25 05:02:00,2024-01-26 13:02:00,False,False,2.97,117
ST2025000141,BOM,2024-08-02 22:04:00,2024-08-03 16:04:00,2024-08-05 15:04:00,False,True,2.53,89
ST2025000142,DEL,2024-05-14 19:54:00,2024-05-15 06:54:00,2024-05-16 22:54:00,False,False,1.9,47
ST2025000143,HYD,2024-02-13 16:25:00,2024-02-14 19:25:00,2024-02-16 01:25:00,False,False,1.97,103
ST2025000144,GGN,2024-06-01 18:59:00,2024-06-02 07:59:00,2024-06-03 19:59:00,False,True,2.12,199
ST2025000145,DEL,2024-09-30 10:20:00,2024-09-30 23:20:00,2024-10-01 21:20:00,False,False,0.72,51
ST2025000146,BOM,2024-08-09 18:48:00,2024-08-10 09:48:00,2024-08-11 22:48:00,False,False,0.28,84
ST2025000147,BLR,2024-03-07 12:57:00,2024-03-08 06:57:00,2024-03-10 03:57:00,False,False,0.71,191
ST2025000148,BOM,2024-01-28 09:02:00,2024-01-28 23:02:00,2024-01-30 23:02:00,True,False,1.12,176
ST2025000149,DEL,2024-03-13 10:55:00,2024-03-13 17:55:00,2024-03-14 07:55:00,False,False,0.82,79
ST2025000150,DEL,2024-01-14 07:11:00,2024-01-15 02:11:00,2024-01-16 16:11:00,False,False,1.61,38
ST2025000151,BLR,2024-12-29 05:32:00,2024-12-30 12:32:00,2024-12-30 15:32:00,False,False,1.48,108
ST2025000152,BOM,2024-10-21 06:23:00,2024-10-21 14:23:00,2024-10-23 22:23:00,True,False,2.58,135
ST2025000153,GGN,2024-06-08 21:24:00,2024-06-09 12:24:00,2024-06-10 14:24:00,False,True,2.36,98
ST2025000154,GGN,2024-02-23 23:21:00,2024-02-24 12:21:00,2024-02-25 12:21:00,False,False,2.62,195
ST2025000155,DEL,2024-05-12 21:58:00,2024-05-14 00:58:00,2024-05-14 15:58:00,False,False,2.18,43
ST2025000156,HYD,2024-08-02 19:07:00,2024-08-03 03:07:00,2024-08-05 07:07:00,False,False,2.37,176
ST2025000157,HYD,2024-10-13 08:14:00,2024-10-14 10:14:00,2024-10-14 14:14:00,False,False,0.66,43
ST2025000158,BLR,2024-01-21 13:42:00,2024-01-22 01:42:00,2024-01-22 22:42:00,False,False,1.58,83
ST2025000159,BLR,2024-06-28 01:49:00,2024-06-28 17:49:00,2024-06-29 07:49:00,False,False,2.32,111
ST2025000160,BLR,2024-08-30 05:44:00,2024-08-31 06:44:00,2024-09-01 00:44:00,False,False,2.82,183
ST2025000161,GGN,2024-06-07 20:20:00,2024-06-08 01:20:00,2024-06-09 13:20:00,False,False,1.93,169
ST2025000162,GGN,2024-03-10 04:26:00,2024-03-10 11:26:00,2024-03-11 12:26:00,False,False,0.77,25
ST2025000163,HYD,2024-12-03 01:28:00,2024-12-03 21:28:00,2024-12-04 12:28:00,False,False,1.62,176
ST2025000164,DEL,2024-03-05 07:51:00,2024-03-05 14:51:00,2024-03-05 23:51:00,False,False,0.75,96
ST2025000165,DEL,2024-11-09 08:13:00,2024-11-10 00:13:00,2024-11-10 08:13:00,False,False,1.89,129
ST2025000166,HYD,2024-08-14 14:55:00,2024-08-14 19:55:00,2024-08-15 18:55:00,False,False,2.38,126
ST2025000167,HYD,2024-08-14 01:29:00,2024-08-14 16:29:00,2024-08-15 12:29:00,False,False,2.06,138
ST2025000168,GGN,2024-10-05 09:50:00,2024-10-05 20:50:00,2024-10-07 00:50:00,False,False,1.5,33
ST2025000169,DEL,2024-12-26 07:35:00,2024-12-26 17:35:00,2024-12-28 03:35:00,False,False,1.03,139
ST2025000170,GGN,2024-11-18 14:41:00,2024-11-19 12:41:00,2024-11-20 14:41:00,False,False,1.75,54
ST2025000171,DEL,2024-02-13 07:15:00,2024-02-14 06:15:00,2024-02-15 01:15:00,False,False,2.95,143
ST2025000172,HYD,2024-02-14 00:58:00,2024-02-14 16:58:00,2024-02-15 04:58:00,True,False,0.43,180
ST2025000173,BOM,2024-11-22 06:38:00,2024-11-22 12:38:00,2024-11-23 20:38:00,False,False,2.32,161
ST2025000174,DEL,2024-02-10 12:50:00,2024-02-11 10:50:00,2024-02-11 23:50:00,False,False,2.22,96
ST2025000175,HYD,2024-02-09 14:09:00,2024-02-09 21:09:00,2024-02-10 15:09:00,False,False,1.12,79
ST2025000176,BOM,2024-12-17 08:07:00,2024-12-17 18:07:00,2024-12-19 03:07:00,False,False,0.92,57
ST2025000177,BOM,2024-04-10 17:58:00,2024-04-11 03:58:00,2024-04-11 14:58:00,False,False,1.58,118
ST2025000178,DEL,2024-03-30 11:07:00,2024-03-30 19:07:00,2024-04-01 15:07:00,False,False,0.34,110
ST2025000179,GGN,2024-04-28 17:50:00,2024-04-29 22:50:00,2024-04-29 17:50:00,False,False,1.75,146
ST2025000180,HYD,2024-07-28 11:32:00,2024-07-28 19:32:00,2024-07-30 09:32:00,False,False,0.88,102
ST2025000181,DEL,2024-12-30 11:38:00,2024-12-31 08:38:00,2024-12-31 08:38:00,False,False,1.23,69
ST2025000182,DEL,2024-04-22 03:40:00,2024-04-23 11:40:00,2024-04-23 01:40:00,False,False,0.74,96
ST2025000183,BLR,2024-11-23 11:19:00,2024-11-24 07:19:00,2024-11-26 02:19:00,False,False,2.97,171
ST2025000184,HYD,2024-09-22 00:56:00,2024-09-22 16:56:00,2024-09-24 21:56:00,False,False,2.44,76
ST2025000185,BOM,2024-01-30 05:46:00,2024-01-30 15:46:00,2024-01-31 09:46:00,False,False,2.08,122
ST2025000186,BOM,2024-09-13 21:42:00,2024-09-14 23:42:00,2024-09-15 13:42:00,False,False,2.13,149
ST2025000187,BOM,2024-08-19 02:46:00,2024-08-20 10:46:00,2024-08-21 07:46:00,False,True,2.48,165
ST2025000188,HYD,2024-12-22 16:42:00,2024-12-23 08:42:00,2024-12-24 11:42:00,False,False,2.63,33
ST2025000189,BLR,2024-07-07 11:14:00,2024-07-08 05:14:00,2024-07-09 18:14:00,True,False,2.73,187
ST2025000190,GGN,2024-01-23 20:00:00,2024-01-24 14:00:00,2024-01-25 01:00:00,False,True,1.76,168
ST2025000191,HYD,2024-03-27 02:04:00,2024-03-28 12:04:00,2024-03-29 19:04:00,False,False,0.49,49
ST2025000192,DEL,2024-09-29 09:40:00,2024-09-29 23:40:00,2024-09-30 20:40:00,False,False,0.9,98
ST2025000193,BOM,2024-11-24 18:43:00,2024-11-25 07:43:00,2024-11-27 04:43:00,False,False,0.57,121
ST2025000194,HYD,2024-09-22 00:03:00,2024-09-23 01:03:00,2024-09-24 02:03:00,False,False,2.76,118
ST2025000195,BOM,2024-06-28 20:54:00,2024-06-29 19:54:00,2024-06-30 02:54:00,False,False,0.21,124
ST2025000196,HYD,2024-08-16 03:02:00,2024-08-16 08:02:00,2024-08-18 10:02:00,False,False,1.73,95
ST2025000197,HYD,2024-08-11 12:47:00,2024-08-12 20:47:00,2024-08-13 04:47:00,True,True,1.63,78
ST2025000198,GGN,2024-07-07 17:08:00,2024-07-08 05:08:00,2024-07-08 11:08:00,False,False,2.42,98
ST2025000199,DEL,2024-04-21 07:20:00,2024-04-22 04:20:00,2024-04-22 06:20:00,False,False,1.7,31
ST2025000200,GGN,2024-06-11 19:49:00,2024-06-12 08:49:00,2024-06-12 20:49:00,False,False,2.8,199
ST2025000201,HYD,2024-10-19 15:53:00,2024-10-20 14:53:00,2024-10-22 07:53:00,False,False,0.54,67
ST2025000202,HYD,2024-08-13 20:33:00,2024-08-14 19:33:00,2024-08-14 22:33:00,False,False,0.84,33
ST2025000203,HYD,2024-04-06 12:08:00,2024-04-07 11:08:00,2024-04-07 20:08:00,False,False,1.02,43
ST2025000204,BLR,2024-04-27 17:25:00,2024-04-29 03:25:00,2024-04-29 20:25:00,False,True,1.1,163
ST2025000205,DEL,2024-01-13 18:38:00,2024-01-14 05:38:00,2024-01-16 04:38:00,False,False,1.87,197
ST2025000206,HYD,2024-07-28 15:48:00,2024-07-29 03:48:00,2024-07-31 02:48:00,False,False,0.53,95
ST2025000207,BLR,2024-04-06 00:13:00,2024-04-06 04:13:00,2024-04-07 02:13:00,False,False,2.86,142
ST2025000208,HYD,2024-09-19 19:06:00,2024-09-20 19:06:00,2024-09-21 10:06:00,False,False,0.69,155
ST2025000209,BOM,2024-05-11 17:27:00,2024-05-12 09:27:00,2024-05-14 09:27:00,False,False,2.93,68
ST2025000210,HYD,2024-05-30 21:04:00,2024-06-01 01:04:00,2024-06-01 12:04:00,False,False,1.9,51
ST2025000211,DEL,2024-03-03 07:09:00,2024-03-04 04:09:00,2024-03-06 02:09:00,True,True,1.77,83
ST2025000212,BOM,2024-10-24 20:29:00,2024-10-25 08:29:00,2024-10-26 20:29:00,False,False,1.49,85
ST2025000213,BOM,2024-11-15 11:22:00,2024-11-15 19:22:00,2024-11-17 02:22:00,False,False,1.32,71
ST2025000214,DEL,2024-11-04 16:32:00,2024-11-05 21:32:00,2024-11-06 10:32:00,False,False,0.55,71
ST2025000215,BLR,2024-11-19 14:12:00,2024-11-19 20:12:00,2024-11-21 18:12:00,False,False,0.72,28
ST2025000216,DEL,2024-03-10 14:57:00,2024-03-11 07:57:00,2024-03-12 12:57:00,False,False,0.43,115
ST2025000217,DEL,2024-06-10 23:13:00,2024-06-11 12:13:00,2024-06-11 17:13:00,False,False,2.0,83
ST2025000218,GGN,2024-03-07 18:03:00,2024-03-08 05:03:00,2024-03-09 19:03:00,False,False,0.68,173
ST2025000219,DEL,2024-10-10 03:54:00,2024-10-11 02:54:00,2024-10-11 07:54:00,False,False,2.65,84
ST2025000220,BLR,2024-03-13 02:54:00,2024-03-14 12:54:00,2024-03-15 11:54:00,False,False,0.55,141
ST2025000221,BLR,2024-08-24 06:07:00,2024-08-24 16:07:00,2024-08-26 22:07:00,False,False,1.54,66
ST2025000222,BOM,2024-11-10 01:27:00,2024-11-11 09:27:00,2024-11-12 19:27:00,False,False,0.79,25
ST2025000223,HYD,2024-11-17 20:36:00,2024-11-19 01:36:00,2024-11-18 18:36:00,False,False,2.89,49
ST2025000224,BLR,2024-11-20 07:16:00,2024-11-21 09:16:00,2024-11-21 14:16:00,False,True,1.76,108
ST2025000225,DEL,2024-09-10 04:00:00,2024-09-10 17:00:00,2024-09-10 21:00:00,False,False,2.56,129
ST2025000226,BOM,2024-08-05 20:00:00,2024-08-06 07:00:00,2024-08-07 15:00:00,False,False,1.87,141
ST2025000227,GGN,2024-01-28 12:49:00,2024-01-29 10:49:00,2024-01-29 22:49:00,True,False,0.78,196
ST2025000228,BLR,2024-07-26 20:13:00,2024-07-27 05:13:00,2024-07-29 05:13:00,False,False,1.52,72
ST2025000229,DEL,2024-01-13 02:34:00,2024-01-14 00:34:00,2024-01-15 03:34:00,False,False,1.2,148
ST2025000230,HYD,2024-04-29 01:38:00,2024-04-29 20:38:00,2024-04-30 00:38:00,False,False,2.48,24
