log_id,order_id,channel,direction,template_type,sent_time,delivery_status,customer_action
LOG0000033,ST2025007014,Call,Outbound,Delivery Update,2024-06-16 06:27:00,Delivered,Ignored
LOG0000034,ST2025003953,Email,Outbound,Payment Reminder,2024-03-29 09:48:00,Delivered,Ignored
LOG0000035,ST2025002616,SMS,Outbound,Vet Transfer,2024-01-27 21:35:00,Delivered,Ignored
LOG0000036,ST2025002345,WhatsApp,Outbound,Payment Reminder,2024-02-07 23:47:00,Delivered,Ignored
LOG0000037,ST2025009685,SMS,Outbound,O2C,2024-10-23 03:33:00,Delivered,Ignored
LOG0000038,ST2025007458,Email,Outbound,O2C,2024-06-18 11:48:00,Read,Ignored
LOG0000039,ST2025006856,Call,Outbound,Delivery Update,2024-03-21 17:22:00,Delivered,Ignored
LOG0000040,ST2025004943,SMS,Outbound,Vet Transfer,2024-11-10 04:10:00,Delivered,Replied
LOG0000041,ST2025007762,SMS,Outbound,O2C,2024-10-16 15:07:00,Read,Clicked
LOG0000042,ST2025005698,WhatsApp,Outbound,Vet Transfer,2024-03-14 03:23:00,Delivered,Clicked
LOG0000043,ST2025008635,Call,Outbound,Payment Reminder,2024-08-31 19:54:00,Delivered,Ignored
LOG0000044,ST2025009393,Call,Outbound,Delivery Update,2024-08-10 02:24:00,Delivered,Ignored
LOG0000045,ST2025001609,WhatsApp,Outbound,Vet Transfer,2024-04-13 09:20:00,Delivered,Ignored
LOG0000046,ST2025006247,Email,Outbound,Delivery Update,2024-11-25 14:38:00,Delivered,Ignored
LOG0000047,ST2025004438,Email,Inbound,Payment Reminder,2024-05-08 10:46:00,Delivered,Ignored
LOG0000048,ST2025004373,Call,Outbound,Vet Transfer,2024-04-24 09:30:00,Delivered,Clicked
LOG0000049,ST2025000448,SMS,Outbound,Vet Transfer,2024-02-22 17:09:00,Read,Clicked
LOG0000050,ST2025007620,SMS,Outbound,Delivery Update,2024-01-20 00:19:00,Delivered,Ignored
LOG0000051,ST2025001817,SMS,Inbound,O2C,2024-12-20 19:54:00,Read,Ignored
LOG0000052,ST2025008831,Call,Outbound,O2C,2024-11-12 14:51:00,Read,Ignored
LOG0000053,ST2025005044,WhatsApp,Outbound,Payment Reminder,2024-12-26 16:09:00,Delivered,Clicked
LOG0000054,ST2025007646,Email,Outbound,Vet Transfer,2024-02-13 16:03:00,Delivered,Ignored
LOG0000055,ST2025007807,WhatsApp,Outbound,Vet Transfer,2024-01-27 04:54:00,Delivered,Clicked
LOG0000056,ST2025007502,SMS,Outbound,Payment Reminder,2024-12-23 18:47:00,Delivered,Ignored
LOG0000057,ST2025004866,Email,Outbound,Delivery Update,2024-06-17 12:50:00,Delivered,Ignored
LOG0000058,ST2025001753,Call,Outbound,O2C,2024-05-10 15:25:00,Read,Replied
LOG0000059,ST2025001861,WhatsApp,Inbound,Payment Reminder,2024-05-04 03:19:00,Delivered,Ignored
LOG0000060,ST2025002181,Email,Outbound,Delivery Update,2024-05-02 05:11:00,Delivered,Ignored
LOG0000061,ST2025005444,Call,Outbound,Delivery Update,2024-03-19 02:45:00,Delivered,Replied
LOG0000062,ST2025000347,WhatsApp,Inbound,O2C,2024-02-04 23:21:00,Delivered,Ignored
LOG0000063,ST2025000082,Email,Outbound,O2C,2024-05-28 23:23:00,Read,Ignored
LOG0000064,ST2025005911,WhatsApp,Outbound,Vet Transfer,2024-03-02 08:12:00,Delivered,Ignored
LOG0000065,ST2025006873,Email,Outbound,O2C,2024-10-06 16:36:00,Read,Ignored
LOG0000066,ST2025008398,Email,Outbound,Payment Reminder,2024-04-27 22:04:00,Read,Ignored
LOG0000067,ST2025002024,Email,Outbound,Vet Transfer,2024-07-28 08:22:00,Read,Ignored
LOG0000068,ST2025000606,Email,Outbound,Delivery Update,2024-02-11 16:52:00,Delivered,Ignored
LOG0000069,ST2025005235,Call,Outbound,Payment Reminder,2024-06-23 09:47:00,Delivered,Ignored
LOG0000070,ST2025008557,SMS,Outbound,Payment Reminder,2024-12-23 08:16:00,Read,Ignored
LOG0000071,ST2025005041,SMS,Outbound,Payment Reminder,2024-08-10 11:11:00,Read,Replied
LOG0000072,ST2025000284,SMS,Outbound,O2C,2024-05-18 19:54:00,Delivered,Ignored
LOG0000073,ST2025003826,WhatsApp,Outbound,Payment Reminder,2024-11-17 17:48:00,Read,Ignored
LOG0000074,ST2025009270,WhatsApp,Outbound,Vet Transfer,2024-04-01 22:12:00,Read,Ignored
LOG0000075,ST2025001493,Call,Outbound,Payment Reminder,2024-02-01 05:12:00,Delivered,Ignored
LOG0000076,ST2025003382,Email,Outbound,Vet Transfer,2024-11-27 02:34:00,Delivered,Clicked
LOG0000077,ST2025004518,Email,Outbound,Delivery Update,2024-10-26 19:02:00,Delivered,Ignored
LOG0000078,ST2025005816,Call,Outbound,Delivery Update,2024-05-26 15:53:00,Read,Ignored
LOG0000079,ST2025005138,SMS,Outbound,Delivery Update,2024-08-08 07:29:00,Read,Clicked
LOG0000080,ST2025008837,Call,Outbound,Delivery Update,2024-03-15 00:11:00,Delivered,Clicked
LOG0000081,ST2025003761,SMS,Outbound,O2C,2024-06-22 18:58:00,Delivered,Ignored
LOG0000082,ST2025001570,Email,Outbound,Vet Transfer,2024-11-09 03:09:00,Read,Ignored
LOG0000083,ST2025003701,WhatsApp,Outbound,Vet Transfer,2024-01-10 22:10:00,Delivered,Ignored
LOG0000084,ST2025000511,WhatsApp,Outbound,Delivery Update,2024-01-01 16:47:00,Delivered,Ignored
LOG0000085,ST2025002814,Email,Outbound,O2C,2024-07-28 22:41:00,Delivered,Clicked
LOG0000086,ST2025007082,Call,Outbound,Payment Reminder,2024-01-08 10:35:00,Failed,Replied
LOG0000087,ST2025006384,Call,Outbound,Vet Transfer,2024-07-02 00:46:00,Delivered,Ignored
LOG0000088,ST2025006199,Email,Outbound,O2C,2024-06-01 13:13:00,Delivered,Replied
LOG0000089,ST2025005411,Email,Outbound,O2C,2024-08-21 14:18:00,Delivered,Ignored
LOG0000090,ST2025007156,SMS,Outbound,O2C,2024-02-06 19:20:00,Delivered,Ignored
LOG0000091,ST2025001550,WhatsApp,Outbound,Delivery Update,2024-11-27 06:59:00,Delivered,Ignored
LOG0000092,ST2025006948,Call,Outbound,Vet Transfer,2024-09-25 20:18:00,Read,Ignored
LOG0000093,ST2025007349,SMS,Outbound,Payment Reminder,2024-04-27 20:11:00,Failed,Replied
LOG0000094,ST2025001744,SMS,Outbound,O2C,2024-01-09 06:43:00,Delivered,Clicked
LOG0000095,ST2025002684,SMS,Outbound,Delivery Update,2024-12-25 13:31:00,Failed,Clicked
LOG0000096,ST2025008199,Email,Inbound,Vet Transfer,2024-07-08 16:12:00,Delivered,Ignored
LOG0000097,ST2025005644,Email,Outbound,Vet Transfer,2024-06-07 14:20:00,Delivered,Ignored
LOG0000098,ST2025004047,WhatsApp,Outbound,Vet Transfer,2024-01-09 08:57:00,Read,Ignored
LOG0000099,ST2025009540,Email,Outbound,Delivery Update,2024-04-07 23:39:00,Read,Ignored
LOG0000100,ST2025002738,Call,Outbound,Payment Reminder,2024-03-23 01:53:00,Delivered,Ignored
LOG0000101,ST2025002711,WhatsApp,Outbound,Vet Transfer,2024-04-29 18:35:00,Delivered,Clicked
LOG0000102,ST2025006617,WhatsApp,Outbound,O2C,2024-03-12 01:43:00,Delivered,Ignored
LOG0000103,ST2025004690,Email,Outbound,Delivery Update,2024-05-03 17:06:00,Delivered,Ignored
LOG0000104,ST2025002567,Email,Outbound,Vet Transfer,2024-06-27 00:34:00,Delivered,Replied
LOG0000105,ST2025005145,SMS,Inbound,Vet Transfer,2024-06-02 11:15:00,Delivered,Replied
LOG0000106,ST2025000557,SMS,Outbound,O2C,2024-07-03 05:17:00,Delivered,Ignored
LOG0000107,ST2025000732,WhatsApp,Outbound,Payment Reminder,2024-07-04 09:23:00,Delivered,Clicked
LOG0000108,ST2025008366,SMS,Inbound,Vet Transfer,2024-01-20 13:16:00,Delivered,Replied
LOG0000109,ST2025008339,WhatsApp,Outbound,Delivery Update,2024-04-03 05:51:00,Read,Ignored
LOG0000110,ST2025000981,Call,Inbound,Vet Transfer,2024-10-11 02:42:00,Delivered,Ignored
LOG0000111,ST2025009628,SMS,Outbound,Vet Transfer,2024-02-01 05:02:00,Read,Clicked
LOG0000112,ST2025008876,WhatsApp,Outbound,Delivery Update,2024-04-18 03:38:00,Delivered,Ignored
LOG0000113,ST2025007178,Call,Outbound,Payment Reminder,2024-11-27 20:47:00,Read,Ignored
LOG0000114,ST2025001536,Call,Outbound,Delivery Update,2024-01-01 16:39:00,Delivered,Clicked
LOG0000115,ST2025002769,SMS,Outbound,O2C,2024-08-09 06:44:00,Read,Ignored
LOG0000116,ST2025001078,Email,Outbound,Payment Reminder,2024-05-17 05:17:00,Delivered,Ignored
LOG0000117,ST2025009710,Call,Outbound,Payment Reminder,2024-12-06 04:33:00,Read,Clicked
LOG0000118,ST2025009163,SMS,Inbound,O2C,2024-08-10 07:09:00,Delivered,Ignored
LOG0000119,ST2025006107,SMS,Outbound,Payment Reminder,2024-03-14 15:32:00,Read,Clicked
LOG0000120,ST2025000535,WhatsApp,Outbound,Delivery Update,2024-03-29 11:28:00,Delivered,Ignored
LOG0000121,ST2025006372,SMS,Outbound,Payment Reminder,2024-08-03 13:40:00,Delivered,Ignored
LOG0000122,ST2025001309,SMS,Inbound,Payment Reminder,2024-08-31 01:14:00,Delivered,Clicked
LOG0000123,ST2025009382,WhatsApp,Outbound,Vet Transfer,2024-11-14 07:07:00,Read,Ignored
LOG0000124,ST2025000039,WhatsApp,Inbound,Delivery Update,2024-12-07 07:18:00,Delivered,Ignored
LOG0000125,ST2025006458,WhatsApp,Outbound,O2C,2024-06-04 19:00:00,Delivered,Ignored
LOG0000126,ST2025008500,Call,Outbound,O2C,2024-04-04 21:17:00,Delivered,Clicked
LOG0000127,ST2025004180,WhatsApp,Outbound,Vet Transfer,2024-04-21 18:12:00,Delivered,Ignored
LOG0000128,ST2025004849,Call,Inbound,O2C,2024-02-04 18:53:00,Read,Ignored
LOG0000129,ST2025002818,Email,Outbound,O2C,2024-11-15 08:17:00,Read,Ignored
LOG0000130,ST2025005878,Call,Inbound,Vet Transfer,2024-07-11 00:37:00,Delivered,Ignored
LOG0000131,ST2025000517,WhatsApp,Outbound,O2C,2024-10-09 16:30:00,Delivered,Clicked
LOG0000132,ST2025006838,WhatsApp,Outbound,Vet Transfer,2024-02-09 16:47:00,Delivered,Clicked
LOG0000133,ST2025002283,Email,Outbound,Vet Transfer,2024-04-14 09:14:00,Delivered,Clicked
LOG0000134,ST2025001653,WhatsApp,Outbound,O2C,2024-11-22 19:22:00,Delivered,Replied
LOG0000135,ST2025000273,WhatsApp,Outbound,Delivery Update,2024-09-15 03:13:00,Delivered,Ignored
LOG0000136,ST2025005463,Email,Inbound,Vet Transfer,2024-04-14 09:04:00,Delivered,Ignored
LOG0000137,ST2025003193,SMS,Inbound,O2C,2024-02-14 19:52:00,Read,Ignored
LOG0000138,ST2025002798,Email,Outbound,Payment Reminder,2024-04-29 15:40:00,Read,Ignored
LOG0000139,ST2025007713,Call,Outbound,Vet Transfer,2024-02-21 12:11:00,Delivered,Replied
LOG0000140,ST2025003271,Call,Outbound,Payment Reminder,2024-03-23 21:59:00,Read,Ignored
LOG0000141,ST2025009502,Email,Outbound,Vet Transfer,2024-06-06 14:12:00,Read,Ignored
LOG0000142,ST2025000605,Email,Outbound,Vet Transfer,2024-01-31 06:21:00,Delivered,Replied
LOG0000143,ST2025004475,Email,Inbound,Payment Reminder,2024-10-25 12:40:00,Delivered,Replied
LOG0000144,ST2025009949,Call,Inbound,Payment Reminder,2024-02-03 16:09:00,Read,Ignored
LOG0000145,ST2025005377,Email,Outbound,Delivery Update,2024-08-15 03:26:00,Delivered,Clicked
LOG0000146,ST2025009884,Call,Outbound,Delivery Update,2024-03-29 06:03:00,Delivered,Ignored
LOG0000147,ST2025004751,Call,Outbound,O2C,2024-02-20 03:40:00,Read,Clicked
LOG0000148,ST2025009028,Call,Outbound,Payment Reminder,2024-07-12 20:19:00,Delivered,Ignored
LOG0000149,ST2025002978,SMS,Inbound,Vet Transfer,2024-05-14 18:43:00,Delivered,Clicked
LOG0000150,ST2025008633,WhatsApp,Outbound,O2C,2024-05-09 21:45:00,Delivered,Clicked
LOG0000151,ST2025005383,Email,Inbound,Vet Transfer,2024-08-05 19:27:00,Delivered,Ignored
LOG0000152,ST2025004533,WhatsApp,Outbound,O2C,2024-07-17 07:03:00,Delivered,Clicked
LOG0000153,ST2025007302,WhatsApp,Inbound,Vet Transfer,2024-06-19 10:26:00,Read,Replied
LOG0000154,ST2025000953,Call,Outbound,O2C,2024-03-09 02:37:00,Delivered,Ignored
LOG0000155,ST2025007483,WhatsApp,Outbound,Delivery Update,2024-05-09 07:26:00,Delivered,Clicked
LOG0000156,ST2025004802,Email,Inbound,Payment Reminder,2024-08-10 18:47:00,Delivered,Ignored
LOG0000157,ST2025004969,Email,Inbound,Delivery Update,2024-05-22 19:33:00,Delivered,Ignored
LOG0000158,ST2025003264,WhatsApp,Outbound,Payment Reminder,2024-08-08 21:37:00,Delivered,Clicked
LOG0000159,ST2025002618,WhatsApp,Outbound,Payment Reminder,2024-02-16 17:23:00,Delivered,Replied
LOG0000160,ST2025000482,Email,Outbound,O2C,2024-05-26 00:55:00,Read,Ignored
LOG0000161,ST2025008493,WhatsApp,Outbound,Delivery Update,2024-03-04 02:36:00,Read,Ignored
LOG0000162,ST2025005190,Email,Outbound,Vet Transfer,2024-06-29 22:57:00,Delivered,Ignored
LOG0000163,ST2025001507,SMS,Outbound,Vet Transfer,2024-09-19 21:03:00,Delivered,Clicked
LOG0000164,ST2025005766,Email,Outbound,O2C,2024-04-08 06:27:00,Read,Ignored
LOG0000165,ST2025006076,SMS,Inbound,Payment Reminder,2024-01-05 12:47:00,Read,Ignored
LOG0000166,ST2025002875,SMS,Outbound,Delivery Update,2024-03-17 00:46:00,Delivered,Ignored
LOG0000167,ST2025002161,WhatsApp,Outbound,Delivery Update,2024-07-11 00:11:00,Delivered,Ignored
LOG0000168,ST2025006166,Call,Outbound,O2C,2024-12-07 01:02:00,Delivered,Ignored
LOG0000169,ST2025008064,Call,Outbound,Delivery Update,2024-01-30 11:44:00,Delivered,Ignored
LOG0000170,ST2025001059,WhatsApp,Outbound,Payment Reminder,2024-03-04 20:14:00,Read,Ignored
LOG0000171,ST2025003256,Call,Outbound,O2C,2024-12-09 10:45:00,Delivered,Replied
LOG0000172,ST2025006690,WhatsApp,Outbound,O2C,2024-09-12 09:36:00,Delivered,Ignored
LOG0000173,ST2025000049,WhatsApp,Outbound,O2C,2024-10-15 11:33:00,Read,Ignored
LOG0000174,ST2025004974,SMS,Outbound,Vet Transfer,2024-06-29 00:40:00,Read,Replied
LOG0000175,ST2025006964,Call,Outbound,Payment Reminder,2024-07-06 02:49:00,Delivered,Ignored
LOG0000176,ST2025002293,Call,Inbound,Delivery Update,2024-10-16 10:07:00,Delivered,Ignored
LOG0000177,ST2025009939,Email,Outbound,Payment Reminder,2024-11-28 00:02:00,Delivered,Ignored
LOG0000178,ST2025008361,WhatsApp,Outbound,Delivery Update,2024-02-22 13:54:00,Read,Ignored
LOG0000179,ST2025002205,SMS,Outbound,Payment Reminder,2024-02-07 10:21:00,Delivered,Ignored
LOG0000180,ST2025002812,SMS,Outbound,O2C,2024-05-21 21:01:00,Read,Clicked
LOG0000181,ST2025006749,SMS,Outbound,Delivery Update,2024-04-16 11:50:00,Delivered,Ignored
LOG0000182,ST2025009241,SMS,Outbound,O2C,2024-08-11 01:37:00,Failed,Clicked
LOG0000183,ST2025004869,Email,Outbound,Delivery Update,2024-03-03 03:37:00,Delivered,Ignored
LOG0000184,ST2025005590,Call,Outbound,Vet Transfer,2024-06-24 15:18:00,Delivered,Ignored
LOG0000185,ST2025001926,Call,Outbound,O2C,2024-07-24 02:13:00,Delivered,Ignored
LOG0000186,ST2025004990,Call,Outbound,Payment Reminder,2024-07-19 10:02:00,Delivered,Replied
LOG0000187,ST2025004188,SMS,Outbound,O2C,2024-09-04 10:26:00,Read,Ignored
LOG0000188,ST2025000403,Call,Outbound,Payment Reminder,2024-04-03 14:47:00,Delivered,Ignored
LOG0000189,ST2025000458,Email,Outbound,Delivery Update,2024-06-30 02:48:00,Delivered,Replied
LOG0000190,ST2025000133,SMS,Outbound,Delivery Update,2024-11-01 13:20:00,Delivered,Ignored
LOG0000191,ST2025004785,WhatsApp,Outbound,Delivery Update,2024-03-07 02:31:00,Failed,Replied
LOG0000192,ST2025007389,SMS,Inbound,Vet Transfer,2024-04-29 03:25:00,Delivered,Clicked
LOG0000193,ST2025007159,Email,Outbound,Payment Reminder,2024-12-06 09:34:00,Delivered,Replied
LOG0000194,ST2025007584,WhatsApp,Outbound,Delivery Update,2024-07-17 19:52:00,Delivered,Ignored
LOG0000195,ST2025002254,Call,Outbound,Vet Transfer,2024-07-31 17:21:00,Read,Ignored
LOG0000196,ST2025005090,SMS,Outbound,Delivery Update,2024-02-22 17:19:00,Read,Ignored
LOG0000197,ST2025004021,Call,Outbound,Vet Transfer,2024-02-13 13:08:00,Delivered,Clicked
LOG0000198,ST2025007271,WhatsApp,Outbound,Delivery Update,2024-05-12 11:10:00,Read,Clicked
LOG0000199,ST2025005235,Email,Outbound,Vet Transfer,2024-04-14 11:59:00,Delivered,Replied
LOG0000200,ST2025007642,WhatsApp,Outbound,O2C,2024-10-29 09:05:00,Delivered,Ignored
LOG0000201,ST2025007797,Call,Outbound,O2C,2024-06-02 18:01:00,Read,Replied
LOG0000202,ST2025001616,WhatsApp,Outbound,O2C,2024-05-18 14:24:00,Delivered,Ignored
LOG0000203,ST2025008639,Call,Inbound,Payment Reminder,2024-09-05 16:14:00,Delivered,Replied
LOG0000204,ST2025007950,Call,Outbound,Vet Transfer,2024-10-25 01:23:00,Delivered,Clicked
LOG0000205,ST2025005870,Call,Outbound,Vet Transfer,2024-09-04 00:19:00,Delivered,Ignored
LOG0000206,ST2025004757,SMS,Outbound,Vet Transfer,2024-09-20 22:00:00,Delivered,Clicked
LOG0000207,ST2025007675,Call,Inbound,Delivery Update,2024-11-29 17:50:00,Delivered,Ignored
LOG0000208,ST2025007828,Call,Outbound,O2C,2024-08-27 01:35:00,Delivered,Ignored
LOG0000209,ST2025005289,SMS,Outbound,O2C,2024-02-04 03:56:00,Read,Ignored
LOG0000210,ST2025008961,SMS,Outbound,Payment Reminder,2024-01-07 17:54:00,Delivered,Ignored
LOG0000211,ST2025000010,SMS,Outbound,O2C,2024-06-21 17:13:00,Failed,Clicked
LOG0000212,ST2025003825,Call,Outbound,Delivery Update,2024-04-20 15:05:00,Delivered,Clicked
LOG0000213,ST2025000264,WhatsApp,Outbound,O2C,2024-01-25 15:33:00,Delivered,Ignored
LOG0000214,ST2025001767,SMS,Outbound,Vet Transfer,2024-07-26 16:12:00,Delivered,Ignored
LOG0000215,ST2025001152,Call,Outbound,O2C,2024-11-09 19:01:00,Read,Ignored
LOG0000216,ST2025006276,Call,Outbound,Vet Transfer,2024-08-29 21:43:00,Read,Replied
LOG0000217,ST2025004207,Call,Outbound,Delivery Update,2024-05-06 14:26:00,Read,Ignored
LOG0000218,ST2025007885,WhatsApp,Inbound,Payment Reminder,2024-11-30 05:52:00,Read,Replied
LOG0000219,ST2025006973,Email,Inbound,Delivery Update,2024-04-12 16:14:00,Delivered,Clicked
LOG0000220,ST2025004577,SMS,Outbound,Vet Transfer,2024-12-27 02:14:00,Delivered,Clicked
LOG0000221,ST2025009826,WhatsApp,Outbound,Vet Transfer,2024-10-13 17:59:00,Delivered,Clicked
LOG0000222,ST2025000357,Call,Outbound,O2C,2024-02-13 11:10:00,Read,Ignored
LOG0000223,ST2025001186,SMS,Outbound,Vet Transfer,2024-03-15 14:57:00,Delivered,Ignored
LOG0000224,ST2025003775,WhatsApp,Outbound,Payment Reminder,2024-03-11 09:16:00,Delivered,Ignored
LOG0000225,ST2025005230,SMS,Outbound,Vet Transfer,2024-10-23 01:35:00,Delivered,Ignored
LOG0000226,ST2025002465,WhatsApp,Inbound,Payment Reminder,2024-09-13 09:32:00,Delivered,Ignored
LOG0000227,ST2025008563,Email,Outbound,O2C,2024-01-12 08:20:00,Delivered,Clicked
LOG0000228,ST2025008573,Call,Outbound,Payment Reminder,2024-12-02 10:06:00,Delivered,Ignored
LOG0000229,ST2025006386,WhatsApp,Outbound,Vet Transfer,2024-10-24 01:35:00,Delivered,Ignored
LOG0000230,ST2025006519,SMS,Outbound,O2C,2024-03-03 13:35:00,Delivered,Ignored
LOG0000231,ST2025008880,SMS,Outbound,Payment Reminder,2024-06-25 00:33:00,Read,Ignored
LOG0000232,ST2025007525,Call,Outbound,Vet Transfer,2024-12-08 05:43:00,Delivered,Ignored
LOG0000233,ST2025006340,SMS,Outbound,O2C,2024-07-25 14:52:00,Delivered,Clicked
LOG0000234,ST2025002829,Call,Outbound,Payment Reminder,2024-11-25 05:20:00,Failed,Ignored
LOG0000235,ST2025009481,SMS,Outbound,O2C,2024-09-13 21:08:00,Read,Replied
LOG0000236,ST2025004509,WhatsApp,Outbound,Delivery Update,2024-06-17 13:06:00,Delivered,Ignored
LOG0000237,ST2025001355,WhatsApp,Outbound,Payment Reminder,2024-12-25 22:49:00,Delivered,Replied
LOG0000238,ST2025001984,Call,Outbound,Payment Reminder,2024-09-11 17:23:00,Delivered,Ignored
LOG0000239,ST2025000700,SMS,Outbound,O2C,2024-03-09 04:17:00,Delivered,Ignored
LOG0000240,ST2025003675,SMS,Outbound,Vet Transfer,2024-05-22 07:13:00,Delivered,Ignored
LOG0000241,ST2025005044,SMS,Outbound,Delivery Update,2024-10-29 23:17:00,Delivered,Ignored
LOG0000242,ST2025000026,Call,Outbound,Vet Transfer,2024-05-23 12:46:00,Delivered,Replied
LOG0000243,ST2025004513,Email,Outbound,Payment Reminder,2024-10-21 23:49:00,Read,Clicked
LOG0000244,ST2025002409,Email,Inbound,Delivery Update,2024-08-12 23:52:00,Delivered,Ignored
LOG0000245,ST2025007574,Call,Outbound,O2C,2024-09-14 05:34:00,Delivered,Clicked
LOG0000246,ST2025001201,WhatsApp,Outbound,Payment Reminder,2024-05-28 07:44:00,Delivered,Ignored
LOG0000247,ST2025002583,Email,Outbound,Vet Transfer,2024-01-10 12:51:00,Delivered,Ignored
LOG0000248,ST2025004094,Call,Outbound,Payment Reminder,2024-09-14 11:27:00,Delivered,Clicked
LOG0000249,ST2025001343,Email,Outbound,O2C,2024-02-19 11:52:00,Delivered,Ignored
LOG0000250,ST2025008410,Call,Outbound,Delivery Update,2024-04-26 00:53:00,Delivered,Ignored
LOG0000251,ST2025007866,WhatsApp,Outbound,Delivery Update,2024-03-28 03:43:00,Delivered,Replied
LOG0000252,ST2025004900,WhatsApp,Outbound,Payment Reminder,2024-07-08 21:08:00,Delivered,Ignored
LOG0000253,ST2025004171,Call,Outbound,Payment Reminder,2024-02-08 20:16:00,Delivered,Clicked
LOG0000254,ST2025008801,WhatsApp,Outbound,Delivery Update,2024-02-26 21:27:00,Delivered,Ignored
LOG0000255,ST2025003768,SMS,Outbound,Vet Transfer,2024-08-26 15:33:00,Delivered,Clicked
LOG0000256,ST2025006379,Call,Outbound,Vet Transfer,2024-02-24 20:30:00,Delivered,Ignored
LOG0000257,ST2025003850,SMS,Outbound,Vet Transfer,2024-03-29 11:44:00,Delivered,Ignored
LOG0000258,ST2025005344,WhatsApp,Outbound,O2C,2024-05-20 09:46:00,Delivered,Replied
LOG0000259,ST2025008934,Email,Outbound,O2C,2024-03-13 23:11:00,Delivered,Ignored
LOG0000260,ST2025002269,WhatsApp,Outbound,Delivery Update,2024-10-13 00:26:00,Delivered,Ignored
LOG0000261,ST2025007061,Email,Outbound,Vet Transfer,2024-05-24 11:29:00,Delivered,Ignored
LOG0000262,ST2025008686,SMS,Outbound,Vet Transfer,2024-11-26 19:25:00,Delivered,Ignored
LOG0000263,ST2025003330,SMS,Outbound,Payment Reminder,2024-04-12 18:37:00,Delivered,Ignored
LOG0000264,ST2025008021,WhatsApp,Outbound,Vet Transfer,2024-02-05 21:01:00,Read,Clicked
LOG0000265,ST2025009957,Email,Outbound,O2C,2024-01-30 01:37:00,Read,Clicked
